股票代码,交易日期,收盘价,开盘价,最高价,最低价,昨收价,涨跌额,涨跌幅,成交量(手),成交额(千元),复权因子,开盘价后复权,开盘价前复权,收盘价后复权,收盘价前复权,最高价后复权,最高价前复权,最低价后复权,最低价前复权,昨收价后复权,昨收价前复权,MACD_DIF(基于前复权价格计算),MACD_DEA,MACD,KDJ_K,KDJ_D,KDJ_J,RSI_6,RSI_12,RSI_24,BOLL_UPPER,BOLL_MID,BOLL_LOWER,CCI
002178.SZ,2024-01-02,5.11,5.14,5.14,5.07,5.16,-0.05,-0.969,199529.0,101963.15,6.538,33.60532,5.14,33.40918,5.11,33.60532,5.14,33.14766,5.07,33.73608,5.16,-0.097,-0.069,-0.055,47.626,30.574,81.73,50.512,45.36,49.374,5.659,5.232,4.806,-11.423
002178.SZ,2024-01-03,5.13,5.08,5.15,5.07,5.11,0.02,0.3914,194765.0,99542.7,6.538,33.21304,5.08,33.53994,5.13,33.6707,5.15,33.14766,5.07,33.40918,5.11,-0.089,-0.073,-0.031,62.054,41.067,104.027,52.795,46.382,49.761,5.612,5.211,4.81,3.81
002178.SZ,2024-01-04,5.64,5.11,5.64,5.09,5.13,0.51,9.9415,384491.0,211993.18,6.538,33.40918,5.11,36.87432,5.64,36.87432,5.64,33.27842,5.09,33.53994,5.13,-0.041,-0.067,0.052,74.702,52.279,119.55,80.425,64.732,58.251,5.639,5.217,4.795,190.549
002178.SZ,2024-01-05,6.2,6.2,6.2,5.93,5.64,0.56,9.9291,825244.0,508375.44,6.538,40.5356,6.2,40.5356,6.2,40.5356,6.2,38.77034,5.93,36.87432,5.64,0.042,-0.045,0.174,83.135,62.564,124.276,88.949,74.987,65.023,5.841,5.251,4.661,323.121
002178.SZ,2024-01-08,6.11,6.47,6.82,5.94,6.2,-0.09,-1.4516,2208729.36,1410084.98,6.538,42.30086,6.47,39.94718,6.11,44.58916,6.82,38.83572,5.94,40.5356,6.2,0.099,-0.016,0.231,76.864,67.331,95.93,82.058,71.35,63.301,5.982,5.286,4.589,229.676
002178.SZ,2024-01-09,6.25,5.5,6.38,5.5,6.11,0.14,2.2913,1808123.14,1088157.23,6.538,35.959,5.5,40.8625,6.25,41.71244,6.38,35.959,5.5,39.94718,6.11,0.154,0.018,0.273,74.882,69.848,84.95,84.325,73.529,64.814,6.14,5.327,4.514,128.507
002178.SZ,2024-01-10,5.63,6.09,6.14,5.63,6.25,-0.62,-9.92,1306109.0,747686.96,6.538,39.81642,6.09,36.80894,5.63,40.14332,6.14,36.80894,5.63,40.8625,6.25,0.146,0.044,0.205,62.595,67.43,52.924,50.451,53.772,54.444,6.159,5.336,4.514,71.24
002178.SZ,2024-01-11,6.19,5.3,6.19,5.3,5.63,0.56,9.9467,1177736.9,690938.79,6.538,34.6514,5.3,40.47022,6.19,40.47022,6.19,34.6514,5.3,36.80894,5.63,0.183,0.071,0.222,63.65,66.17,58.61,65.481,63.449,60.413,6.279,5.376,4.474,72.028
002178.SZ,2024-01-12,6.23,6.3,6.55,6.19,6.19,0.04,0.6462,1856545.41,1177004.6,6.538,41.1894,6.3,40.73174,6.23,42.8239,6.55,40.47022,6.19,40.47022,6.19,0.212,0.1,0.226,64.529,65.623,62.34,66.355,64.036,60.796,6.395,5.418,4.442,111.006
002178.SZ,2024-01-15,6.06,6.1,6.3,6.01,6.23,-0.17,-2.7287,996597.6,608512.69,6.538,39.8818,6.1,39.62028,6.06,41.1894,6.3,39.29338,6.01,40.73174,6.23,0.22,0.124,0.192,61.876,64.374,56.881,58.761,59.6,58.296,6.47,5.456,4.442,71.99
