股票代码,交易日期,收盘价,开盘价,最高价,最低价,昨收价,涨跌额,涨跌幅,成交量(手),成交额(千元),复权因子,开盘价后复权,开盘价前复权,收盘价后复权,收盘价前复权,最高价后复权,最高价前复权,最低价后复权,最低价前复权,昨收价后复权,昨收价前复权,MACD_DIF(基于前复权价格计算),MACD_DEA,MACD,KDJ_K,KDJ_D,KDJ_J,RSI_6,RSI_12,RSI_24,BOLL_UPPER,BOLL_MID,BOLL_LOWER,CCI
000833.SZ,2024-01-02,6.19,6.18,6.25,6.14,6.19,0.0,0.0,54021.0,33427.45,1.7,10.506,5.05388,10.523,5.06206,10.625,5.11112,10.438,5.02117,10.523,5.06206,0.019,0.014,0.011,60.551,41.216,99.221,65.038,58.485,55.103,5.137,4.948,4.758,81.895
000833.SZ,2024-01-03,6.22,6.17,6.25,6.14,6.19,0.03,0.4847,45235.0,28039.75,1.7,10.489,5.0457,10.574,5.08659,10.625,5.11112,10.438,5.02117,10.523,5.06206,0.028,0.017,0.023,71.428,51.287,111.711,67.346,59.854,55.924,5.152,4.953,4.754,75.969
000833.SZ,2024-01-04,6.25,6.2,6.26,6.18,6.22,0.03,0.4823,47657.0,29660.75,1.7,10.54,5.07023,10.625,5.11112,10.642,5.1193,10.506,5.05388,10.574,5.08659,0.037,0.021,0.032,80.211,60.929,118.777,69.742,61.249,56.75,5.165,4.957,4.749,79.716
000833.SZ,2024-01-05,6.13,6.25,6.25,6.11,6.25,-0.12,-1.92,42233.4,26045.93,1.7,10.625,5.11112,10.421,5.01299,10.625,5.11112,10.387,4.99663,10.625,5.11112,0.036,0.024,0.024,77.178,66.345,98.844,51.575,53.187,52.635,5.169,4.96,4.751,51.294
000833.SZ,2024-01-08,6.08,6.14,6.23,6.08,6.13,-0.05,-0.8157,49595.32,30488.76,1.7,10.438,5.02117,10.336,4.9721,10.591,5.09477,10.336,4.9721,10.421,5.01299,0.031,0.025,0.011,71.452,68.047,78.261,45.632,50.184,51.027,5.163,4.969,4.774,39.861
000833.SZ,2024-01-09,6.12,6.09,6.2,6.06,6.08,0.04,0.6579,32335.0,19796.12,1.7,10.353,4.98028,10.404,5.00481,10.54,5.07023,10.302,4.95574,10.336,4.9721,0.029,0.026,0.007,70.598,68.897,73.998,51.047,52.523,52.245,5.162,4.977,4.793,35.556
000833.SZ,2024-01-10,6.04,6.14,6.15,6.02,6.12,-0.08,-1.3072,38865.0,23602.61,1.7,10.438,5.02117,10.268,4.93939,10.455,5.02934,10.234,4.92303,10.404,5.00481,0.023,0.025,-0.006,63.344,67.046,55.94,41.199,47.643,49.667,5.16,4.981,4.801,-6.061
000833.SZ,2024-01-11,6.08,6.05,6.09,6.0,6.04,0.04,0.6623,26844.0,16229.39,1.7,10.285,4.94757,10.336,4.9721,10.353,4.98028,10.2,4.90668,10.268,4.93939,0.02,0.024,-0.009,52.486,62.193,33.072,47.299,50.168,50.93,5.161,4.982,4.803,-15.972
000833.SZ,2024-01-12,6.35,6.08,6.47,6.06,6.08,0.27,4.4408,174735.31,110323.5,1.7,10.336,4.9721,10.795,5.1929,10.999,5.29103,10.302,4.95574,10.336,4.9721,0.035,0.026,0.017,59.813,61.4,56.64,71.364,63.23,58.302,5.194,4.993,4.791,130.425
000833.SZ,2024-01-15,6.25,6.3,6.4,6.22,6.35,-0.1,-1.5748,121386.01,76265.04,1.7,10.71,5.15201,10.625,5.11112,10.88,5.23379,10.574,5.08659,10.795,5.1929,0.04,0.029,0.021,57.606,60.135,52.548,59.324,57.175,55.103,5.192,4.992,4.792,115.206
000833.SZ,2024-01-16,6.18,6.2,6.25,6.06,6.25,-0.07,-1.12,82846.9,50877.33,1.7,10.54,5.07023,10.506,5.05388,10.625,5.11112,10.302,4.95574,10.625,5.11112,0.039,0.031,0.015,51.17,57.147,39.216,51.961,53.279,52.979,5.19,4.991,4.792,19.444
000833.SZ,2024-01-17,5.99,6.18,6.18,5.96,6.18,-0.19,-3.0744,65209.0,39443.6,1.7,10.506,5.05388,10.183,4.8985,10.506,5.05388,10.132,4.87397,10.506,5.05388,0.025,0.03,-0.01,36.074,50.123,7.977,37.001,44.333,47.766,5.19,4.987,4.784,-107.656
000833.SZ,2024-01-18,5.84,5.95,5.95,5.67,5.99,-0.15,-2.5042,85890.34,49659.6,1.7,10.115,4.86579,9.928,4.77583,10.115,4.86579,9.639,4.63681,10.183,4.8985,0.004,0.025,-0.041,31.133,43.793,5.813,29.072,38.732,44.184,5.201,4.98,4.758,-255.976
000833.SZ,2024-01-19,5.92,5.89,6.03,5.84,5.84,0.08,1.3699,62291.0,37029.53,1.7,10.013,4.81672,10.064,4.84125,10.251,4.93121,9.928,4.77583,9.928,4.77583,-0.007,0.018,-0.051,31.172,39.586,14.344,37.627,42.927,46.42,5.202,4.972,4.743,-129.755
000833.SZ,2024-01-22,5.47,5.85,5.9,5.38,5.92,-0.45,-7.6014,67136.62,37772.1,1.7,9.945,4.78401,9.299,4.47325,10.03,4.8249,9.146,4.39965,10.064,4.84125,-0.045,0.006,-0.101,23.534,34.235,2.131,20.741,30.227,37.582,5.266,4.95,4.634,-238.491
