股票代码,交易日期,收盘价,开盘价,最高价,最低价,昨收价,涨跌额,涨跌幅,成交量(手),成交额(千元),复权因子,开盘价后复权,开盘价前复权,收盘价后复权,收盘价前复权,最高价后复权,最高价前复权,最低价后复权,最低价前复权,昨收价后复权,昨收价前复权,MACD_DIF(基于前复权价格计算),MACD_DEA,MACD,KDJ_K,KDJ_D,KDJ_J,RSI_6,RSI_12,RSI_24,BOLL_UPPER,BOLL_MID,BOLL_LOWER,CCI
000652.SZ,2024-01-02,3.92,3.9,3.95,3.89,3.89,0.03,0.7712,85201.2,33433.7,27.72,108.108,3.81996,108.6624,3.83955,109.494,3.86894,107.8308,3.81017,107.8308,3.81017,-0.055,-0.05,-0.011,46.783,31.06,78.23,52.889,45.163,44.475,4.089,3.89,3.69,-13.132
000652.SZ,2024-01-03,3.92,3.91,3.94,3.89,3.92,0.0,0.0,82179.0,32174.85,27.72,108.3852,3.82976,108.6624,3.83955,109.2168,3.85914,107.8308,3.81017,108.6624,3.83955,-0.051,-0.05,-0.001,58.967,40.362,96.176,52.889,45.163,44.475,4.074,3.881,3.688,-7.172
000652.SZ,2024-01-04,3.92,3.93,3.94,3.89,3.92,0.0,0.0,67203.2,26265.58,27.72,108.9396,3.84935,108.6624,3.83955,109.2168,3.85914,107.8308,3.81017,108.6624,3.83955,-0.047,-0.049,0.006,67.089,49.271,102.725,52.889,45.163,44.475,4.058,3.873,3.688,7.407
000652.SZ,2024-01-05,4.07,3.91,4.31,3.9,3.92,0.15,3.8265,584001.0,239489.55,27.72,108.3852,3.82976,112.8204,3.98647,119.4732,4.22155,108.108,3.81996,108.6624,3.83955,-0.031,-0.046,0.029,63.244,53.929,81.876,78.131,61.39,53.077,4.045,3.87,3.694,235.023
000652.SZ,2024-01-08,4.03,4.22,4.35,4.0,4.07,-0.04,-0.9828,596115.89,247287.28,27.72,116.9784,4.1334,111.7116,3.94729,120.582,4.26073,110.88,3.91791,112.8204,3.98647,-0.022,-0.041,0.038,57.105,54.988,61.341,66.696,56.524,50.883,4.048,3.871,3.694,232.801
000652.SZ,2024-01-09,3.92,3.91,4.03,3.86,4.03,-0.11,-2.7295,417773.83,163952.07,27.72,108.3852,3.82976,108.6624,3.83955,111.7116,3.94729,106.9992,3.78078,111.7116,3.94729,-0.023,-0.037,0.029,46.691,52.222,35.629,44.974,45.665,45.489,4.042,3.866,3.691,21.756
000652.SZ,2024-01-10,3.87,3.91,3.94,3.87,3.92,-0.05,-1.2755,227746.68,88793.06,27.72,108.3852,3.82976,107.2764,3.79058,109.2168,3.85914,107.2764,3.79058,108.6624,3.83955,-0.027,-0.035,0.016,34.831,46.425,11.643,38.19,41.694,43.311,4.028,3.857,3.686,-25.124
000652.SZ,2024-01-11,3.9,3.85,3.91,3.83,3.87,0.03,0.7752,157098.24,60991.51,27.72,106.722,3.77099,108.108,3.81996,108.3852,3.82976,106.1676,3.7514,107.2764,3.79058,-0.028,-0.034,0.012,27.708,40.186,2.752,44.245,44.834,44.961,4.01,3.849,3.688,-37.323
000652.SZ,2024-01-12,3.89,3.88,3.97,3.87,3.9,-0.01,-0.2564,155863.0,61173.49,27.72,107.5536,3.80037,107.8308,3.81017,110.0484,3.88853,107.2764,3.79058,108.108,3.81996,-0.029,-0.033,0.008,22.318,34.23,-1.506,42.577,43.973,44.51,3.983,3.839,3.695,-6.126
000652.SZ,2024-01-15,3.87,3.86,3.9,3.83,3.89,-0.02,-0.5141,111206.56,43006.13,27.72,106.9992,3.78078,107.2764,3.79058,108.108,3.81996,106.1676,3.7514,107.8308,3.81017,-0.031,-0.033,0.003,17.443,28.634,-4.94,39.043,42.204,43.598,3.955,3.829,3.703,-59.364
