股票代码,交易日期,收盘价,开盘价,最高价,最低价,昨收价,涨跌额,涨跌幅,成交量(手),成交额(千元),复权因子,开盘价后复权,开盘价前复权,收盘价后复权,收盘价前复权,最高价后复权,最高价前复权,最低价后复权,最低价前复权,昨收价后复权,昨收价前复权,MACD_DIF(基于前复权价格计算),MACD_DEA,MACD,KDJ_K,KDJ_D,KDJ_J,RSI_6,RSI_12,RSI_24,BOLL_UPPER,BOLL_MID,BOLL_LOWER,CCI
002439.SZ,2024-01-02,26.55,27.04,27.21,26.55,27.0,-0.45,-1.6667,49581.09,132798.98,8.285,224.0264,26.61341,219.96675,26.13114,225.43485,26.78073,219.96675,26.13114,223.695,26.57405,-0.051,-0.003,-0.096,54.46,42.831,77.718,49.872,49.191,49.308,27.911,26.46,25.009,4.618
002439.SZ,2024-01-03,25.86,26.4,26.57,25.76,26.55,-0.69,-2.5989,70112.0,182675.49,8.285,218.724,25.98351,214.2501,25.45203,220.13245,26.15083,213.4216,25.35361,219.96675,26.13114,-0.103,-0.023,-0.16,45.956,43.873,50.122,37.007,42.171,45.632,27.937,26.425,24.914,-63.748
002439.SZ,2024-01-04,25.6,25.84,26.12,25.5,25.86,-0.26,-1.0054,45244.84,116315.73,8.285,214.0844,25.43235,212.096,25.19613,216.4042,25.70793,211.2675,25.09771,214.2501,25.45203,-0.162,-0.051,-0.223,35.725,41.157,24.861,33.141,39.834,44.333,27.974,26.371,24.767,-89.786
002439.SZ,2024-01-05,25.16,25.71,25.96,24.96,25.6,-0.44,-1.7188,57199.9,145688.3,8.285,213.00735,25.3044,208.4506,24.76307,215.0786,25.55045,206.7936,24.56623,212.096,25.19613,-0.242,-0.089,-0.306,26.78,36.364,7.61,27.341,36.138,42.21,28.035,26.286,24.537,-117.774
002439.SZ,2024-01-08,23.53,25.1,25.15,23.4,25.16,-1.63,-6.4785,124929.1,298281.62,8.285,207.9535,24.70402,194.94605,23.15879,208.36775,24.75323,193.869,23.03084,208.4506,24.76307,-0.429,-0.157,-0.545,18.99,30.573,-4.175,15.378,26.281,35.618,28.221,26.076,23.93,-227.769
002439.SZ,2024-01-09,22.69,23.64,23.76,22.29,23.53,-0.84,-3.5699,196758.73,445504.92,8.285,195.8574,23.26705,187.98665,22.33204,196.8516,23.38516,184.67265,21.93835,194.94605,23.15879,-0.637,-0.253,-0.769,15.37,25.506,-4.9,12.103,22.787,32.858,28.399,25.814,23.228,-263.929
002439.SZ,2024-01-10,22.51,22.69,22.89,22.28,22.69,-0.18,-0.7933,90275.26,204114.37,8.285,187.98665,22.33204,186.49535,22.15488,189.64365,22.52889,184.5898,21.92851,187.98665,22.33204,-0.807,-0.364,-0.886,11.802,20.938,-6.469,11.474,22.1,32.298,28.451,25.543,22.636,-193.489
002439.SZ,2024-01-11,22.64,22.8,23.38,22.47,22.51,0.13,0.5775,96658.16,220294.4,8.285,188.898,22.44031,187.5724,22.28283,193.7033,23.01115,186.16395,22.11551,186.49535,22.15488,-0.921,-0.475,-0.891,10.302,17.392,-3.879,15.286,23.907,33.156,28.373,25.283,22.192,-130.532
002439.SZ,2024-01-12,21.92,22.57,22.57,21.6,22.64,-0.72,-3.1802,156588.18,343089.61,8.285,186.99245,22.21393,181.6072,21.57419,186.99245,22.21393,178.956,21.25924,187.5724,22.28283,-1.056,-0.591,-0.929,8.769,14.518,-2.728,11.885,20.968,30.894,28.344,24.998,21.653,-131.427
002439.SZ,2024-01-15,21.23,21.88,21.88,21.05,21.92,-0.69,-3.1478,127136.0,271201.76,8.285,181.2758,21.53482,175.89055,20.89507,181.2758,21.53482,174.39925,20.71791,181.6072,21.57419,-1.204,-0.714,-0.98,6.933,11.99,-3.18,9.463,18.58,28.921,28.378,24.701,21.024,-125.981
