股票代码,交易日期,收盘价,开盘价,最高价,最低价,昨收价,涨跌额,涨跌幅,成交量(手),成交额(千元),复权因子,开盘价后复权,开盘价前复权,收盘价后复权,收盘价前复权,最高价后复权,最高价前复权,最低价后复权,最低价前复权,昨收价后复权,昨收价前复权,MACD_DIF(基于前复权价格计算),MACD_DEA,MACD,KDJ_K,KDJ_D,KDJ_J,RSI_6,RSI_12,RSI_24,BOLL_UPPER,BOLL_MID,BOLL_LOWER,CCI
000665.SZ,2024-01-02,4.77,4.82,4.89,4.77,4.8,-0.03,-0.625,155332.76,74704.02,5.766,27.79212,4.82,27.50382,4.77,28.19574,4.89,27.50382,4.77,27.6768,4.8,-0.175,-0.1,-0.151,15.478,14.124,18.187,26.361,31.605,39.677,5.889,5.228,4.566,-71.616
000665.SZ,2024-01-03,4.8,4.79,4.85,4.75,4.77,0.03,0.6289,138752.29,66597.59,5.766,27.61914,4.79,27.6768,4.8,27.9651,4.85,27.3885,4.75,27.50382,4.77,-0.177,-0.115,-0.123,19.208,15.818,25.986,31.541,33.618,40.491,5.876,5.196,4.516,-64.32
000665.SZ,2024-01-04,4.78,4.81,4.83,4.73,4.8,-0.02,-0.4167,101191.4,48374.19,5.766,27.73446,4.81,27.56148,4.78,27.84978,4.83,27.27318,4.73,27.6768,4.8,-0.177,-0.128,-0.099,20.805,17.481,27.454,29.86,32.913,40.114,5.848,5.16,4.472,-60.329
000665.SZ,2024-01-05,4.69,4.79,4.79,4.67,4.78,-0.09,-1.8828,114920.0,54325.03,5.766,27.61914,4.79,27.04254,4.69,27.61914,4.79,26.92722,4.67,27.56148,4.78,-0.183,-0.139,-0.088,19.87,18.277,23.056,23.189,29.843,38.436,5.813,5.118,4.423,-69.119
000665.SZ,2024-01-08,4.63,4.69,4.71,4.61,4.69,-0.06,-1.2793,90015.8,41981.02,5.766,27.04254,4.69,26.69658,4.63,27.15786,4.71,26.58126,4.61,27.04254,4.69,-0.19,-0.149,-0.082,16.372,17.642,13.831,19.673,27.946,37.348,5.787,5.078,4.368,-82.476
000665.SZ,2024-01-09,4.63,4.61,4.69,4.6,4.63,0.0,0.0,87331.57,40513.71,5.766,26.58126,4.61,26.69658,4.63,27.04254,4.69,26.5236,4.6,26.69658,4.63,-0.194,-0.158,-0.071,14.363,16.549,9.99,19.673,27.946,37.348,5.734,5.032,4.33,-83.974
000665.SZ,2024-01-10,4.55,4.61,4.63,4.52,4.63,-0.08,-1.7279,90462.0,41289.43,5.766,26.58126,4.61,26.2353,4.55,26.69658,4.63,26.06232,4.52,26.69658,4.63,-0.201,-0.167,-0.068,12.278,15.125,6.583,15.237,25.387,35.875,5.669,4.982,4.294,-121.033
000665.SZ,2024-01-11,4.64,4.56,4.64,4.56,4.55,0.09,1.978,99667.06,45898.47,5.766,26.29296,4.56,26.75424,4.64,26.75424,4.64,26.29296,4.56,26.2353,4.55,-0.196,-0.173,-0.048,18.996,16.416,24.157,35.018,32.926,38.713,5.598,4.938,4.279,-92.841
000665.SZ,2024-01-12,4.57,4.63,4.67,4.56,4.64,-0.07,-1.5086,92700.0,42632.52,5.766,26.69658,4.63,26.35062,4.57,26.92722,4.67,26.29296,4.56,26.75424,4.64,-0.197,-0.177,-0.038,17.169,16.667,18.173,28.755,30.326,37.371,5.507,4.89,4.273,-95.514
000665.SZ,2024-01-15,4.56,4.57,4.6,4.52,4.57,-0.01,-0.2188,75939.2,34666.64,5.766,26.35062,4.57,26.29296,4.56,26.5236,4.6,26.06232,4.52,26.35062,4.57,-0.195,-0.181,-0.029,15.486,16.273,13.912,27.899,29.958,37.178,5.387,4.84,4.292,-113.678
