股票代码,交易日期,收盘价,开盘价,最高价,最低价,昨收价,涨跌额,涨跌幅,成交量(手),成交额(千元),复权因子,开盘价后复权,开盘价前复权,收盘价后复权,收盘价前复权,最高价后复权,最高价前复权,最低价后复权,最低价前复权,昨收价后复权,昨收价前复权,MACD_DIF(基于前复权价格计算),MACD_DEA,MACD,KDJ_K,KDJ_D,KDJ_J,RSI_6,RSI_12,RSI_24,BOLL_UPPER,BOLL_MID,BOLL_LOWER,CCI
000820.SZ,2024-01-02,4.32,3.97,4.32,3.96,3.93,0.39,9.9237,118597.48,50134.6,1.925,7.64225,3.97,8.316,4.32,8.316,4.32,7.623,3.96,7.56525,3.93,0.029,0.032,-0.007,44.984,31.412,72.129,74.234,67.068,62.605,4.252,4.065,3.878,110.329
000820.SZ,2024-01-03,4.75,4.28,4.75,4.15,4.32,0.43,9.9537,420393.49,184522.04,1.925,8.239,4.28,9.14375,4.75,9.14375,4.75,7.98875,4.15,8.316,4.32,0.082,0.042,0.079,63.323,42.049,105.871,85.717,78.366,71.462,4.452,4.1,3.747,290.853
000820.SZ,2024-01-04,5.23,5.08,5.23,4.99,4.75,0.48,10.1053,402605.58,208647.38,1.925,9.779,5.08,10.06775,5.23,10.06775,5.23,9.60575,4.99,9.14375,4.75,0.161,0.066,0.19,75.549,53.216,120.215,91.057,84.741,77.633,4.762,4.157,3.552,329.185
000820.SZ,2024-01-05,4.71,5.49,5.75,4.71,5.23,-0.52,-9.9426,1053641.44,546239.16,1.925,10.56825,5.49,9.06675,4.71,11.06875,5.75,9.06675,4.71,10.06775,5.23,0.179,0.089,0.181,64.96,57.13,80.62,61.277,62.852,62.384,4.839,4.19,3.54,186.927
000820.SZ,2024-01-08,4.26,4.36,4.57,4.24,4.71,-0.45,-9.5541,778167.01,334161.69,1.925,8.393,4.36,8.2005,4.26,8.79725,4.57,8.162,4.24,9.06675,4.71,0.156,0.102,0.107,49.793,54.685,40.011,45.742,50.53,52.986,4.845,4.205,3.565,23.048
000820.SZ,2024-01-09,4.06,4.12,4.22,4.04,4.26,-0.2,-4.6948,479573.13,196666.38,1.925,7.931,4.12,7.8155,4.06,8.1235,4.22,7.777,4.04,8.2005,4.26,0.12,0.106,0.028,36.078,48.483,11.27,40.294,46.144,49.526,4.845,4.206,3.566,-32.39
000820.SZ,2024-01-10,4.21,4.1,4.27,3.93,4.06,0.15,3.6946,509046.79,209612.59,1.925,7.8925,4.1,8.10425,4.21,8.21975,4.27,7.56525,3.93,7.8155,4.06,0.102,0.105,-0.006,29.638,42.201,4.512,46.075,49.716,51.98,4.849,4.211,3.573,-26.445
000820.SZ,2024-01-11,4.34,4.12,4.35,4.12,4.21,0.13,3.0879,431632.26,183558.63,1.925,7.931,4.12,8.3545,4.34,8.37375,4.35,7.931,4.12,8.10425,4.21,0.097,0.103,-0.012,27.409,37.27,7.686,51.008,52.682,54.002,4.861,4.222,3.582,0.055
000820.SZ,2024-01-12,4.39,4.42,4.74,4.38,4.34,0.05,1.1521,584526.18,263121.95,1.925,8.5085,4.42,8.45075,4.39,9.1245,4.74,8.4315,4.38,8.3545,4.34,0.096,0.102,-0.011,26.697,33.746,12.6,52.992,53.825,54.767,4.875,4.232,3.589,45.074
000820.SZ,2024-01-15,4.42,4.31,4.53,4.3,4.39,0.03,0.6834,359983.07,158435.51,1.925,8.29675,4.31,8.5085,4.42,8.72025,4.53,8.2775,4.3,8.45075,4.39,0.097,0.101,-0.008,26.773,31.422,17.475,54.325,54.544,55.233,4.892,4.244,3.597,19.858
000820.SZ,2024-01-16,4.41,4.43,4.47,4.33,4.42,-0.01,-0.2262,237067.83,103853.77,1.925,8.52775,4.43,8.48925,4.41,8.60475,4.47,8.33525,4.33,8.5085,4.42,0.096,0.1,-0.008,26.64,29.828,20.264,53.716,54.237,55.036,4.908,4.26,3.612,10.482
000820.SZ,2024-01-17,4.28,4.4,4.41,4.27,4.41,-0.13,-2.9478,144361.61,62833.15,1.925,8.47,4.4,8.239,4.28,8.48925,4.41,8.21975,4.27,8.48925,4.41,0.083,0.097,-0.027,24.17,27.942,16.627,45.721,50.228,52.494,4.913,4.268,3.624,-17.677
000820.SZ,2024-01-18,4.31,4.28,4.5,4.16,4.28,0.03,0.7009,186517.8,79861.54,1.925,8.239,4.28,8.29675,4.31,8.6625,4.5,8.008,4.16,8.239,4.28,0.075,0.092,-0.035,31.751,29.212,36.83,47.869,51.137,53.016,4.918,4.28,3.643,-25.123
000820.SZ,2024-01-19,4.21,4.29,4.35,4.18,4.31,-0.1,-2.3202,127588.48,54196.1,1.925,8.25825,4.29,8.10425,4.21,8.37375,4.35,8.0465,4.18,8.29675,4.31,0.059,0.086,-0.052,32.69,30.371,37.328,41.326,47.952,51.063,4.919,4.286,3.654,-56.197
000820.SZ,2024-01-22,4.0,4.22,4.25,3.96,4.21,-0.21,-4.9881,161760.78,66038.72,1.925,8.1235,4.22,7.7,4.0,8.18125,4.25,7.623,3.96,8.10425,4.21,0.03,0.075,-0.089,24.674,28.472,17.078,30.737,41.963,47.247,4.921,4.284,3.648,-104.576
000820.SZ,2024-01-23,3.99,4.03,4.06,3.91,4.0,-0.01,-0.25,116714.0,46300.65,1.925,7.75775,4.03,7.68075,3.99,7.8155,4.06,7.52675,3.91,7.7,4.0,0.006,0.061,-0.11,19.662,25.535,7.916,30.294,41.693,47.072,4.919,4.286,3.654,-113.821
000820.SZ,2024-01-24,4.04,4.04,4.16,3.93,3.99,0.05,1.2531,125848.0,50893.75,1.925,7.777,4.04,7.777,4.04,8.008,4.16,7.56525,3.93,7.68075,3.99,-0.009,0.047,-0.112,18.329,23.133,8.72,35.848,43.673,48.075,4.915,4.291,3.667,-96.12
000820.SZ,2024-01-25,4.12,4.05,4.13,4.03,4.04,0.08,1.9802,105245.0,43021.8,1.925,7.79625,4.05,7.931,4.12,7.95025,4.13,7.75775,4.03,7.777,4.04,-0.015,0.034,-0.098,23.51,23.259,24.011,44.36,46.825,49.666,4.908,4.3,3.692,-67.864
