股票代码,交易日期,收盘价,开盘价,最高价,最低价,昨收价,涨跌额,涨跌幅,成交量(手),成交额(千元),复权因子,开盘价后复权,开盘价前复权,收盘价后复权,收盘价前复权,最高价后复权,最高价前复权,最低价后复权,最低价前复权,昨收价后复权,昨收价前复权,MACD_DIF(基于前复权价格计算),MACD_DEA,MACD,KDJ_K,KDJ_D,KDJ_J,RSI_6,RSI_12,RSI_24,BOLL_UPPER,BOLL_MID,BOLL_LOWER,CCI
000698.SZ,2024-01-02,4.64,4.22,4.64,4.22,4.22,0.42,9.9526,230753.05,104564.7,3.07,12.9554,4.22,14.2448,4.64,14.2448,4.64,12.9554,4.22,12.9554,4.22,0.019,-0.007,0.051,56.26,37.253,94.275,85.066,74.109,65.577,4.455,4.214,3.972,223.662
000698.SZ,2024-01-03,5.1,5.03,5.1,4.67,4.64,0.46,9.9138,713674.3,351300.9,3.07,15.4421,5.03,15.657,5.1,15.657,5.1,14.3369,4.67,14.2448,4.64,0.086,0.012,0.148,70.84,48.449,115.623,91.783,83.13,74.185,4.713,4.258,3.803,316.737
000698.SZ,2024-01-04,4.78,5.15,5.61,4.78,5.1,-0.32,-6.2745,1493786.94,783704.5,3.07,15.8105,5.15,14.6746,4.78,17.2227,5.61,14.6746,4.78,15.657,5.1,0.112,0.032,0.16,63.16,53.352,82.774,66.728,65.746,62.788,4.793,4.284,3.776,221.773
000698.SZ,2024-01-05,5.01,4.72,5.07,4.72,4.78,0.23,4.8117,1191446.83,587074.15,3.07,14.4904,4.72,15.3807,5.01,15.5649,5.07,14.4904,4.72,14.6746,4.78,0.149,0.055,0.188,62.861,56.522,75.54,73.069,70.571,66.632,4.922,4.324,3.725,133.607
000698.SZ,2024-01-08,5.02,4.7,5.36,4.59,5.01,0.01,0.1996,1143079.95,563436.05,3.07,14.429,4.7,15.4114,5.02,16.4552,5.36,14.0913,4.59,15.3807,5.01,0.178,0.08,0.196,62.872,58.639,71.338,73.334,70.767,66.788,5.03,4.369,3.709,113.713
000698.SZ,2024-01-09,4.9,4.83,5.02,4.7,5.02,-0.12,-2.3904,741832.16,359291.39,3.07,14.8281,4.83,15.043,4.9,15.4114,5.02,14.429,4.7,15.4114,5.02,0.188,0.101,0.174,60.363,59.213,62.663,64.228,65.109,63.102,5.098,4.406,3.715,75.622
000698.SZ,2024-01-10,4.58,4.88,4.9,4.47,4.9,-0.32,-6.5306,776817.15,362507.08,3.07,14.9816,4.88,14.0606,4.58,15.043,4.9,13.7229,4.47,15.043,4.9,0.169,0.115,0.108,51.567,56.665,41.371,45.965,52.825,54.7,5.114,4.426,3.737,29.34
000698.SZ,2024-01-11,5.04,4.5,5.04,4.5,4.58,0.46,10.0437,591383.62,290516.16,3.07,13.815,4.5,15.4728,5.04,15.4728,5.04,13.815,4.5,14.0606,4.58,0.189,0.13,0.118,54.96,56.096,52.686,63.747,63.596,62.241,5.198,4.466,3.734,58.803
000698.SZ,2024-01-12,4.8,4.88,4.98,4.76,5.04,-0.24,-4.7619,908299.32,440977.0,3.07,14.9816,4.88,14.736,4.8,15.2886,4.98,14.6132,4.76,15.4728,5.04,0.183,0.14,0.085,50.549,54.247,43.152,52.857,56.282,57.069,5.233,4.49,3.748,49.006
000698.SZ,2024-01-15,4.75,4.7,4.86,4.67,4.8,-0.05,-1.0417,500121.94,238397.39,3.07,14.429,4.7,14.5825,4.75,14.9202,4.86,14.3369,4.67,14.736,4.8,0.172,0.147,0.051,41.886,50.127,25.405,50.692,54.848,56.057,5.258,4.512,3.766,26.351
000698.SZ,2024-01-16,4.66,4.75,4.77,4.55,4.75,-0.09,-1.8947,440533.81,203978.38,3.07,14.5825,4.75,14.3062,4.66,14.6439,4.77,13.9685,4.55,14.5825,4.75,0.155,0.148,0.013,33.48,44.578,11.284,46.571,52.235,54.249,5.27,4.534,3.797,-4.238
000698.SZ,2024-01-17,4.4,4.65,4.65,4.38,4.66,-0.26,-5.5794,433304.33,194364.41,3.07,14.2755,4.65,13.508,4.4,14.2755,4.65,13.4466,4.38,14.3062,4.66,0.118,0.142,-0.048,23.0,37.385,-5.77,36.333,45.417,49.442,5.268,4.543,3.818,-65.393
000698.SZ,2024-01-18,4.2,4.34,4.35,4.06,4.4,-0.2,-4.5455,474878.73,197404.1,3.07,13.3238,4.34,12.894,4.2,13.3545,4.35,12.4642,4.06,13.508,4.4,0.073,0.128,-0.111,18.923,31.231,-5.693,30.204,40.933,46.159,5.269,4.541,3.813,-149.574
000698.SZ,2024-01-19,4.04,4.2,4.21,4.02,4.2,-0.16,-3.8095,298687.34,122044.37,3.07,12.894,4.2,12.4028,4.04,12.9247,4.21,12.3414,4.02,12.894,4.2,0.023,0.107,-0.168,13.269,25.244,-10.681,25.994,37.687,43.734,5.28,4.532,3.785,-174.274
000698.SZ,2024-01-22,3.75,4.06,4.08,3.72,4.04,-0.29,-7.1782,276273.2,107309.85,3.07,12.4642,4.06,11.5125,3.75,12.5256,4.08,11.4204,3.72,12.4028,4.04,-0.039,0.078,-0.234,9.604,20.03,-11.25,19.947,32.577,39.783,5.318,4.513,3.708,-186.755
000698.SZ,2024-01-23,3.72,3.76,3.85,3.69,3.75,-0.03,-0.8,224090.2,83688.46,3.07,11.5432,3.76,11.4204,3.72,11.8195,3.85,11.3283,3.69,11.5125,3.75,-0.089,0.045,-0.268,7.143,15.735,-10.04,19.388,32.086,39.398,5.353,4.495,3.637,-153.678
000698.SZ,2024-01-24,3.81,3.72,3.82,3.67,3.72,0.09,2.4194,236619.5,88910.87,3.07,11.4204,3.72,11.6967,3.81,11.7274,3.82,11.2669,3.67,11.4204,3.72,-0.121,0.012,-0.265,8.324,13.265,-1.556,26.785,35.278,41.177,5.371,4.483,3.595,-121.538
000698.SZ,2024-01-25,4.03,3.79,4.05,3.79,3.81,0.22,5.7743,255933.8,100430.56,3.07,11.6353,3.79,12.3721,4.03,12.4335,4.05,11.6353,3.79,11.6967,3.81,-0.126,-0.016,-0.221,15.634,14.054,18.792,42.314,42.487,45.274,5.374,4.48,3.586,-74.49
000698.SZ,2024-01-26,4.12,4.03,4.2,3.99,4.03,0.09,2.2333,256120.1,105860.15,3.07,12.3721,4.03,12.6484,4.12,12.894,4.2,12.2493,3.99,12.3721,4.03,-0.122,-0.037,-0.17,24.059,17.389,37.398,47.753,45.21,46.854,5.375,4.478,3.582,-41.991
000698.SZ,2024-01-29,4.02,4.12,4.17,3.98,4.12,-0.1,-2.4272,194250.0,78797.42,3.07,12.6484,4.12,12.3414,4.02,12.8019,4.17,12.2186,3.98,12.6484,4.12,-0.126,-0.055,-0.141,27.944,20.907,42.017,42.42,42.756,45.337,5.381,4.469,3.556,-42.776
000698.SZ,2024-01-30,3.88,3.96,4.03,3.86,4.02,-0.14,-3.4826,132403.0,52278.75,3.07,12.1572,3.96,11.9116,3.88,12.3721,4.03,11.8502,3.86,12.3414,4.02,-0.138,-0.072,-0.133,28.923,23.579,39.611,35.718,39.483,43.288,5.374,4.43,3.487,-60.271
000698.SZ,2024-01-31,3.7,3.83,3.9,3.67,3.88,-0.18,-4.6392,157111.0,59236.04,3.07,11.7581,3.83,11.359,3.7,11.973,3.9,11.2669,3.67,11.9116,3.88,-0.16,-0.089,-0.142,21.134,22.764,17.874,28.718,35.654,40.814,5.302,4.36,3.419,-86.584
000698.SZ,2024-02-01,3.55,3.66,3.7,3.48,3.7,-0.15,-4.0541,189922.0,67777.29,3.07,11.2362,3.66,10.8985,3.55,11.359,3.7,10.6836,3.48,11.359,3.7,-0.188,-0.109,-0.158,17.33,20.953,10.085,24.012,32.766,38.882,5.283,4.299,3.315,-120.775
000698.SZ,2024-02-02,3.35,3.57,3.65,3.21,3.55,-0.2,-5.6338,163775.0,56180.22,3.07,10.9599,3.57,10.2845,3.35,11.2055,3.65,9.8547,3.21,10.8985,3.55,-0.224,-0.132,-0.183,16.267,19.391,10.02,19.024,29.312,36.479,5.226,4.216,3.206,-149.22
000698.SZ,2024-02-05,3.02,3.3,3.32,3.02,3.35,-0.33,-9.8507,260172.0,80049.12,3.07,10.131,3.3,9.2714,3.02,10.1924,3.32,9.2714,3.02,10.2845,3.35,-0.275,-0.161,-0.229,10.845,16.542,-0.55,13.48,24.638,32.97,5.182,4.116,3.05,-192.682
000698.SZ,2024-02-06,2.97,2.88,3.08,2.76,3.02,-0.05,-1.6556,275898.51,79391.02,3.07,8.8416,2.88,9.1179,2.97,9.4556,3.08,8.4732,2.76,9.2714,3.02,-0.317,-0.192,-0.25,12.091,15.059,6.156,12.801,24.005,32.477,5.132,4.02,2.907,-193.359
000698.SZ,2024-02-07,2.79,2.99,3.02,2.78,2.97,-0.18,-6.0606,310802.62,88003.92,3.07,9.1793,2.99,8.5653,2.79,9.2714,3.02,8.5346,2.78,9.1179,2.97,-0.36,-0.225,-0.269,8.755,12.957,0.351,10.515,21.805,30.747,5.133,3.93,2.727,-155.681
000698.SZ,2024-02-08,3.0,2.82,3.02,2.76,2.79,0.21,7.5269,270653.99,77501.13,3.07,8.6574,2.82,9.21,3.0,9.2714,3.02,8.4732,2.76,8.5653,2.79,-0.373,-0.255,-0.236,11.51,12.475,9.581,28.412,29.971,34.964,4.982,3.828,2.674,-115.43
000698.SZ,2024-02-19,3.15,3.05,3.2,3.05,3.0,0.15,5.0,206885.5,64716.41,3.07,9.3635,3.05,9.6705,3.15,9.824,3.2,9.3635,3.05,9.21,3.0,-0.367,-0.277,-0.179,17.91,14.287,25.156,38.888,35.241,37.788,4.844,3.746,2.647,-65.93
000698.SZ,2024-02-20,3.2,3.14,3.21,3.06,3.15,0.05,1.5873,141586.57,44472.54,3.07,9.6398,3.14,9.824,3.2,9.8547,3.21,9.3942,3.06,9.6705,3.15,-0.354,-0.293,-0.122,24.805,17.793,38.83,42.268,36.966,38.713,4.688,3.668,2.648,-53.413
