股票代码,交易日期,收盘价,开盘价,最高价,最低价,昨收价,涨跌额,涨跌幅,成交量(手),成交额(千元),复权因子,开盘价后复权,开盘价前复权,收盘价后复权,收盘价前复权,最高价后复权,最高价前复权,最低价后复权,最低价前复权,昨收价后复权,昨收价前复权,MACD_DIF(基于前复权价格计算),MACD_DEA,MACD,KDJ_K,KDJ_D,KDJ_J,RSI_6,RSI_12,RSI_24,BOLL_UPPER,BOLL_MID,BOLL_LOWER,CCI
001258.SZ,2024-01-02,8.09,8.08,8.17,8.03,8.08,0.01,0.1238,130545.0,105744.03,1.006,8.12848,7.96129,8.13854,7.97115,8.21902,8.04997,8.07818,7.91203,8.12848,7.96129,0.029,-0.022,0.102,64.425,58.792,75.69,61.589,57.767,52.962,8.072,7.724,7.376,93.226
001258.SZ,2024-01-03,8.07,8.04,8.08,7.96,8.09,-0.02,-0.2472,95904.0,76859.11,1.006,8.08824,7.92188,8.11842,7.95144,8.12848,7.96129,8.00776,7.84306,8.13854,7.97115,0.038,-0.01,0.095,64.863,60.816,72.958,59.683,56.81,52.474,8.099,7.741,7.382,63.109
001258.SZ,2024-01-04,7.93,8.06,8.07,7.93,8.07,-0.14,-1.7348,67056.0,53437.41,1.006,8.10836,7.94159,7.97758,7.8135,8.11842,7.95144,7.97758,7.8135,8.11842,7.95144,0.033,-0.001,0.068,60.835,60.822,60.86,47.371,50.432,49.168,8.105,7.746,7.387,39.056
001258.SZ,2024-01-05,7.65,7.9,7.96,7.62,7.93,-0.28,-3.5309,94473.1,73604.05,1.006,7.9474,7.78394,7.6959,7.53761,8.00776,7.84306,7.66572,7.50805,7.97758,7.8135,0.006,0.0,0.013,46.742,56.129,27.969,31.684,40.509,43.454,8.108,7.743,7.377,-37.716
001258.SZ,2024-01-08,7.68,7.65,7.77,7.64,7.65,0.03,0.3922,61828.0,47571.43,1.006,7.6959,7.53761,7.72608,7.56717,7.81662,7.65585,7.68584,7.52776,7.6959,7.53761,-0.012,-0.002,-0.019,33.6,48.619,3.563,34.474,41.846,44.179,8.11,7.74,7.369,-50.51
001258.SZ,2024-01-09,7.55,7.61,7.72,7.51,7.68,-0.13,-1.6927,63449.83,48208.88,1.006,7.65566,7.4982,7.5953,7.43908,7.76632,7.60658,7.55506,7.39967,7.72608,7.56717,-0.036,-0.009,-0.054,24.278,40.506,-8.177,28.436,37.826,41.758,8.117,7.724,7.332,-82.099
001258.SZ,2024-01-10,7.51,7.52,7.59,7.37,7.55,-0.04,-0.5298,48930.83,36645.5,1.006,7.56512,7.40952,7.55506,7.39967,7.63554,7.47849,7.41422,7.26172,7.5953,7.43908,-0.058,-0.019,-0.078,21.676,34.229,-3.431,26.708,36.645,41.035,8.122,7.706,7.289,-107.33
001258.SZ,2024-01-11,7.58,7.46,7.61,7.43,7.51,0.07,0.9321,43718.83,33019.37,1.006,7.50476,7.3504,7.62548,7.46864,7.65566,7.4982,7.47458,7.32084,7.55506,7.39967,-0.069,-0.029,-0.08,22.884,30.447,7.758,35.0,40.21,42.841,8.12,7.691,7.263,-90.299
001258.SZ,2024-01-12,7.67,7.56,7.87,7.56,7.58,0.09,1.1873,76290.0,59026.64,1.006,7.60536,7.44893,7.71602,7.55732,7.91722,7.75438,7.60536,7.44893,7.62548,7.46864,-0.07,-0.037,-0.065,27.756,29.55,24.168,44.66,44.585,45.096,8.11,7.68,7.25,-43.452
001258.SZ,2024-01-15,7.61,7.68,7.77,7.58,7.67,-0.06,-0.7823,45361.0,34701.68,1.006,7.72608,7.56717,7.65566,7.4982,7.81662,7.65585,7.62548,7.46864,7.71602,7.55732,-0.074,-0.044,-0.059,29.772,29.624,30.067,39.914,42.332,43.891,8.103,7.668,7.232,-59.586
001258.SZ,2024-01-16,7.5,7.58,7.6,7.36,7.61,-0.11,-1.4455,60020.21,44750.48,1.006,7.62548,7.46864,7.545,7.38981,7.6456,7.48834,7.40416,7.25187,7.65566,7.4982,-0.086,-0.053,-0.066,26.421,28.556,22.149,32.352,38.448,41.757,8.109,7.657,7.206,-98.052
001258.SZ,2024-01-17,7.28,7.48,7.48,7.28,7.5,-0.22,-2.9333,48482.0,35813.99,1.006,7.52488,7.37011,7.32368,7.17305,7.52488,7.37011,7.32368,7.17305,7.545,7.38981,-0.111,-0.064,-0.093,17.614,24.909,3.024,22.239,32.034,37.911,8.136,7.641,7.146,-125.167
001258.SZ,2024-01-18,7.19,7.27,7.32,7.02,7.28,-0.09,-1.2363,50459.88,36093.27,1.006,7.31362,7.16319,7.23314,7.08437,7.36392,7.21246,7.06212,6.91687,7.32368,7.17305,-0.136,-0.079,-0.115,18.409,22.742,9.743,19.28,29.814,36.476,8.169,7.621,7.074,-155.797
001258.SZ,2024-01-19,7.08,7.2,7.22,7.08,7.19,-0.11,-1.5299,27964.0,19947.7,1.006,7.2432,7.09422,7.12248,6.97598,7.26332,7.11393,7.12248,6.97598,7.23314,7.08437,-0.163,-0.096,-0.135,14.626,20.037,3.804,16.133,27.292,34.797,8.209,7.594,6.979,-146.129
001258.SZ,2024-01-22,6.66,7.08,7.1,6.6,7.08,-0.42,-5.9322,50443.0,34505.81,1.006,7.12248,6.97598,6.69996,6.56215,7.1426,6.99569,6.6396,6.50304,7.12248,6.97598,-0.216,-0.12,-0.192,11.325,17.133,-0.29,9.229,20.183,29.404,8.304,7.543,6.781,-198.301
001258.SZ,2024-01-23,6.72,6.65,6.76,6.53,6.66,0.06,0.9009,37618.0,25132.61,1.006,6.6899,6.5523,6.76032,6.62127,6.80056,6.66069,6.56918,6.43406,6.69996,6.56215,-0.25,-0.146,-0.208,12.277,15.514,5.801,15.433,23.297,30.998,8.357,7.496,6.635,-174.043
001258.SZ,2024-01-24,6.83,6.76,6.84,6.59,6.72,0.11,1.6369,47404.0,31958.03,1.006,6.80056,6.66069,6.87098,6.72966,6.88104,6.73951,6.62954,6.49318,6.76032,6.62127,-0.265,-0.169,-0.19,15.647,15.558,15.824,26.486,28.848,33.856,8.307,7.428,6.549,-125.186
001258.SZ,2024-01-25,7.08,6.82,7.08,6.79,6.83,0.25,3.6603,58376.3,40744.39,1.006,6.86092,6.7198,7.12248,6.97598,7.12248,6.97598,6.83074,6.69024,6.87098,6.72966,-0.254,-0.186,-0.135,25.216,18.778,38.093,45.805,39.674,39.77,8.265,7.385,6.506,-63.641
001258.SZ,2024-01-26,7.12,7.1,7.2,7.04,7.08,0.04,0.565,43301.88,30920.65,1.006,7.1426,6.99569,7.16272,7.0154,7.2432,7.09422,7.08224,6.93657,7.12248,6.97598,-0.239,-0.197,-0.085,35.191,24.249,57.075,48.409,41.235,40.656,8.175,7.335,6.494,-27.769
001258.SZ,2024-01-29,7.01,7.13,7.2,6.99,7.12,-0.11,-1.5449,39294.42,27766.71,1.006,7.17278,7.02525,7.05206,6.90701,7.2432,7.09422,7.03194,6.88731,7.16272,7.0154,-0.234,-0.204,-0.059,40.303,29.6,61.708,41.785,38.265,39.01,8.091,7.282,6.473,-33.213
001258.SZ,2024-01-30,6.97,6.98,7.14,6.86,7.01,-0.04,-0.5706,41443.2,29010.37,1.006,7.02188,6.87745,7.01182,6.8676,7.18284,7.0351,6.90116,6.75922,7.05206,6.90701,-0.23,-0.209,-0.041,45.434,34.878,66.546,39.431,37.202,38.419,7.989,7.227,6.464,-45.161
001258.SZ,2024-01-31,6.63,6.98,7.03,6.62,6.97,-0.34,-4.878,53267.21,36175.79,1.006,7.02188,6.87745,6.66978,6.5326,7.07218,6.92672,6.65972,6.52274,7.01182,6.8676,-0.251,-0.218,-0.067,35.12,34.959,35.443,25.041,29.583,33.872,7.899,7.156,6.413,-92.222
001258.SZ,2024-02-01,6.42,6.58,6.61,6.37,6.63,-0.21,-3.1674,48461.0,31483.48,1.006,6.61948,6.48333,6.45852,6.32568,6.64966,6.51289,6.40822,6.27642,6.66978,6.5326,-0.281,-0.23,-0.102,25.421,31.78,12.705,19.71,25.995,31.471,7.844,7.081,6.319,-146.791
001258.SZ,2024-02-02,6.15,6.44,6.57,5.93,6.42,-0.27,-4.2056,58246.0,36363.2,1.006,6.47864,6.34539,6.1869,6.05965,6.60942,6.47348,5.96558,5.84288,6.45852,6.32568,-0.323,-0.249,-0.148,22.722,28.76,10.645,14.836,22.216,28.739,7.86,7.008,6.155,-174.282
