股票代码,交易日期,收盘价,开盘价,最高价,最低价,昨收价,涨跌额,涨跌幅,成交量(手),成交额(千元),复权因子,开盘价后复权,开盘价前复权,收盘价后复权,收盘价前复权,最高价后复权,最高价前复权,最低价后复权,最低价前复权,昨收价后复权,昨收价前复权,MACD_DIF(基于前复权价格计算),MACD_DEA,MACD,KDJ_K,KDJ_D,KDJ_J,RSI_6,RSI_12,RSI_24,BOLL_UPPER,BOLL_MID,BOLL_LOWER,CCI
002152.SZ,2024-01-02,11.95,12.24,12.31,11.95,12.26,-0.31,-2.5285,248929.12,300443.67,17.155,209.9772,11.6691,205.00225,11.39262,211.17805,11.73583,205.00225,11.39262,210.3203,11.68816,-0.12,-0.049,-0.144,25.935,22.095,33.616,41.125,42.576,46.198,12.796,11.825,10.854,-42.313
002152.SZ,2024-01-03,11.95,11.91,12.03,11.81,11.95,0.0,0.0,171868.26,204748.64,17.155,204.31605,11.35449,205.00225,11.39262,206.37465,11.46889,202.60055,11.25915,205.00225,11.39262,-0.127,-0.064,-0.125,29.79,24.66,40.051,41.125,42.576,46.198,12.799,11.816,10.833,-57.978
002152.SZ,2024-01-04,11.79,11.91,11.92,11.71,11.95,-0.16,-1.3389,154716.51,182507.22,17.155,204.31605,11.35449,202.25745,11.24008,204.4876,11.36402,200.88505,11.16382,205.00225,11.39262,-0.142,-0.08,-0.125,24.093,24.471,23.337,34.594,39.342,44.419,12.809,11.803,10.796,-78.984
002152.SZ,2024-01-05,11.51,11.85,11.85,11.48,11.79,-0.28,-2.3749,200291.33,233417.88,17.155,203.28675,11.29729,197.45405,10.97314,203.28675,11.29729,196.9394,10.94454,202.25745,11.24008,-0.174,-0.099,-0.151,17.225,22.056,7.563,25.941,34.359,41.5,12.837,11.768,10.699,-118.761
002152.SZ,2024-01-08,11.2,11.51,11.51,11.17,11.51,-0.31,-2.6933,188066.59,212636.26,17.155,197.45405,10.97314,192.136,10.6776,197.45405,10.97314,191.62135,10.649,197.45405,10.97314,-0.221,-0.123,-0.195,12.338,18.816,-0.619,19.471,29.801,38.571,12.844,11.693,10.542,-192.554
002152.SZ,2024-01-09,10.89,11.25,11.3,10.85,11.2,-0.31,-2.7679,296382.08,326013.2,17.155,192.99375,10.72527,186.81795,10.38206,193.8515,10.77294,186.13175,10.34393,192.136,10.6776,-0.278,-0.154,-0.248,9.12,15.584,-3.808,14.986,26.033,35.926,12.763,11.577,10.39,-232.666
002152.SZ,2024-01-10,10.65,10.82,10.87,10.63,10.89,-0.24,-2.2039,210519.25,225752.85,17.155,185.6171,10.31533,182.70075,10.15326,186.47485,10.363,182.35765,10.13419,186.81795,10.38206,-0.339,-0.191,-0.295,6.47,12.546,-5.682,12.344,23.522,34.04,12.67,11.449,10.227,-208.328
002152.SZ,2024-01-11,10.79,10.68,10.89,10.68,10.65,0.14,1.3146,215006.38,231839.72,17.155,183.2154,10.18186,185.10245,10.28673,186.81795,10.38206,183.2154,10.18186,182.70075,10.15326,-0.371,-0.227,-0.288,7.432,10.841,0.614,21.973,27.945,36.083,12.544,11.335,10.126,-144.853
002152.SZ,2024-01-12,10.6,10.82,10.82,10.57,10.79,-0.19,-1.7609,180209.02,192347.55,17.155,185.6171,10.31533,181.843,10.10559,185.6171,10.31533,181.32835,10.07699,185.10245,10.28673,-0.407,-0.263,-0.288,5.53,9.071,-1.553,18.638,25.741,34.567,12.423,11.217,10.011,-127.102
002152.SZ,2024-01-15,10.6,10.54,10.74,10.51,10.6,0.0,0.0,151707.0,161058.86,17.155,180.8137,10.04839,181.843,10.10559,184.2447,10.23906,180.29905,10.01979,181.843,10.10559,-0.43,-0.296,-0.268,5.66,7.934,1.112,18.638,25.741,34.567,12.326,11.113,9.9,-108.146
002152.SZ,2024-01-16,10.47,10.6,10.67,10.3,10.6,-0.13,-1.2264,217477.09,226394.48,17.155,181.843,10.10559,179.61285,9.98165,183.04385,10.17232,176.6965,9.81958,181.843,10.10559,-0.454,-0.328,-0.252,7.271,7.713,6.388,16.214,24.187,33.518,12.246,11.012,9.777,-104.952
002152.SZ,2024-01-17,10.26,10.47,10.55,10.26,10.47,-0.21,-2.0057,135466.46,141162.1,17.155,179.61285,9.98165,176.0103,9.78145,180.98525,10.05792,176.0103,9.78145,179.61285,9.98165,-0.483,-0.359,-0.248,4.848,6.758,1.027,12.95,21.862,31.887,12.143,10.897,9.652,-101.925
002152.SZ,2024-01-18,10.2,10.2,10.32,9.91,10.26,-0.06,-0.5848,212685.11,214193.84,17.155,174.981,9.72425,174.981,9.72425,177.0396,9.83865,170.00605,9.44777,176.0103,9.78145,-0.505,-0.388,-0.233,9.273,7.596,12.627,12.113,21.226,31.431,12.081,10.797,9.513,-109.276
002152.SZ,2024-01-19,10.09,10.18,10.24,10.04,10.2,-0.11,-1.0784,159995.69,162113.0,17.155,174.6379,9.70518,173.09395,9.61938,175.6672,9.76238,172.2362,9.57171,174.981,9.72425,-0.524,-0.415,-0.218,10.499,8.564,14.369,10.606,20.059,30.594,12.034,10.701,9.368,-101.794
002152.SZ,2024-01-22,9.52,10.07,10.12,9.48,10.09,-0.57,-5.6492,207141.13,202597.72,17.155,172.75085,9.60031,163.3156,9.07596,173.6086,9.64798,162.6294,9.03783,173.09395,9.61938,-0.577,-0.448,-0.259,7.945,8.357,7.119,5.98,15.302,26.743,12.067,10.589,9.112,-140.675
002152.SZ,2024-01-23,9.75,9.54,9.81,9.46,9.52,0.23,2.416,188302.53,182193.31,17.155,163.6587,9.09503,167.26125,9.29524,168.29055,9.35244,162.2863,9.01876,163.3156,9.07596,-0.594,-0.477,-0.235,12.056,9.59,16.988,22.374,23.308,30.43,12.024,10.487,8.95,-133.137
002152.SZ,2024-01-24,9.97,9.81,10.01,9.57,9.75,0.22,2.2564,158636.85,155635.18,17.155,168.29055,9.35244,171.03535,9.50497,171.72155,9.54311,164.17335,9.12363,167.26125,9.29524,-0.585,-0.499,-0.172,20.538,13.24,35.134,35.319,30.192,33.758,11.956,10.401,8.847,-95.622
002152.SZ,2024-01-25,10.4,10.0,10.41,9.93,9.97,0.43,4.3129,226221.78,231410.2,17.155,171.55,9.53357,178.412,9.91492,178.58355,9.92445,170.34915,9.46684,171.03535,9.50497,-0.537,-0.506,-0.062,38.171,21.55,71.413,53.505,41.408,39.645,11.838,10.331,8.823,-27.016
002152.SZ,2024-01-26,10.47,10.34,10.68,10.31,10.4,0.07,0.6731,247427.5,259744.22,17.155,177.3827,9.85772,179.61285,9.98165,183.2154,10.18186,176.86805,9.82912,178.412,9.91492,-0.489,-0.503,0.028,53.043,32.048,95.033,55.926,43.033,40.543,11.708,10.264,8.82,27.766
002152.SZ,2024-01-29,10.14,10.45,10.57,10.12,10.47,-0.33,-3.1519,193085.85,198693.98,17.155,179.26975,9.96259,173.9517,9.66704,181.32835,10.07699,173.6086,9.64798,179.61285,9.98165,-0.471,-0.496,0.052,53.941,39.345,83.133,43.201,37.66,37.779,11.47,10.163,8.855,-4.133
002152.SZ,2024-01-30,9.76,10.04,10.2,9.74,10.14,-0.38,-3.7475,172329.02,171639.03,17.155,172.2362,9.57171,167.4328,9.30477,174.981,9.72425,167.0897,9.2857,173.9517,9.66704,-0.48,-0.493,0.027,44.158,40.949,50.574,32.868,32.554,34.918,11.288,10.058,8.829,-77.65
