股票代码,交易日期,收盘价,开盘价,最高价,最低价,昨收价,涨跌额,涨跌幅,成交量(手),成交额(千元),复权因子,开盘价后复权,开盘价前复权,收盘价后复权,收盘价前复权,最高价后复权,最高价前复权,最低价后复权,最低价前复权,昨收价后复权,昨收价前复权,MACD_DIF(基于前复权价格计算),MACD_DEA,MACD,KDJ_K,KDJ_D,KDJ_J,RSI_6,RSI_12,RSI_24,BOLL_UPPER,BOLL_MID,BOLL_LOWER,CCI
002331.SZ,2024-01-02,8.44,8.44,8.54,8.42,8.44,0.0,0.0,127665.58,108340.77,5.396,45.54224,8.4079,45.54224,8.4079,46.08184,8.50752,45.43432,8.38798,45.54224,8.4079,-0.112,-0.035,-0.154,46.036,31.241,75.625,45.606,45.211,50.078,9.557,8.682,7.807,-11.814
002331.SZ,2024-01-03,8.4,8.4,8.47,8.3,8.44,-0.04,-0.4739,103548.0,86702.15,5.396,45.3264,8.36805,45.3264,8.36805,45.70412,8.43779,44.7868,8.26843,45.54224,8.4079,-0.112,-0.05,-0.123,50.691,37.724,76.623,42.09,44.254,49.658,9.246,8.601,7.956,-33.09
002331.SZ,2024-01-04,8.45,8.38,8.5,8.35,8.4,0.05,0.5952,147679.49,124887.23,5.396,45.21848,8.34813,45.5962,8.41786,45.866,8.46767,45.0566,8.31824,45.3264,8.36805,-0.106,-0.061,-0.09,57.127,44.192,82.998,48.092,45.817,50.203,9.084,8.551,8.018,3.044
002331.SZ,2024-01-05,8.16,8.47,8.5,8.08,8.45,-0.29,-3.432,184375.2,151747.7,5.396,45.70412,8.43779,44.03136,8.12897,45.866,8.46767,43.59968,8.04927,45.5962,8.41786,-0.124,-0.074,-0.1,43.882,44.088,43.468,27.939,38.913,47.119,9.046,8.512,7.977,-102.576
002331.SZ,2024-01-08,7.98,8.08,8.22,7.97,8.16,-0.18,-2.2059,111191.29,90060.81,5.396,43.59968,8.04927,43.06008,7.94965,44.35512,8.18874,43.00612,7.93969,44.03136,8.12897,-0.151,-0.089,-0.123,29.839,39.339,10.84,21.293,35.31,45.316,9.008,8.461,7.914,-179.531
002331.SZ,2024-01-09,8.06,8.1,8.15,7.98,7.98,0.08,1.0025,111969.0,90333.24,5.396,43.7076,8.06919,43.49176,8.02935,43.9774,8.119,43.06008,7.94965,43.06008,7.94965,-0.163,-0.104,-0.119,25.156,34.611,6.246,30.154,38.089,46.27,8.938,8.414,7.89,-145.6
002331.SZ,2024-01-10,7.97,8.06,8.11,7.86,8.06,-0.09,-1.1166,105242.0,84021.55,5.396,43.49176,8.02935,43.00612,7.93969,43.76156,8.07916,42.41256,7.83011,43.49176,8.02935,-0.179,-0.119,-0.12,22.163,30.462,5.565,26.176,36.181,45.342,8.821,8.357,7.892,-156.612
002331.SZ,2024-01-11,8.18,8.0,8.2,7.95,7.97,0.21,2.6349,91586.2,74351.98,5.396,43.168,7.96958,44.13928,8.14889,44.2472,8.16881,42.8982,7.91977,43.00612,7.93969,-0.172,-0.13,-0.085,30.462,30.462,30.461,46.091,43.398,47.886,8.733,8.321,7.909,-77.489
002331.SZ,2024-01-12,8.14,8.17,8.26,8.11,8.18,-0.04,-0.489,78376.0,64118.09,5.396,44.08532,8.13893,43.92344,8.10904,44.57096,8.22859,43.76156,8.07916,44.13928,8.14889,-0.168,-0.137,-0.062,34.033,31.652,38.795,43.414,42.402,47.447,8.678,8.292,7.907,-38.377
002331.SZ,2024-01-15,8.13,8.11,8.19,8.05,8.14,-0.01,-0.1229,52516.2,42602.64,5.396,43.76156,8.07916,43.86948,8.09908,44.19324,8.15885,43.4378,8.01938,43.92344,8.10904,-0.164,-0.143,-0.042,36.751,33.352,43.55,42.67,42.138,47.334,8.628,8.266,7.904,-54.945
