股票代码,交易日期,收盘价,开盘价,最高价,最低价,昨收价,涨跌额,涨跌幅,成交量(手),成交额(千元),复权因子,开盘价后复权,开盘价前复权,收盘价后复权,收盘价前复权,最高价后复权,最高价前复权,最低价后复权,最低价前复权,昨收价后复权,昨收价前复权,MACD_DIF(基于前复权价格计算),MACD_DEA,MACD,KDJ_K,KDJ_D,KDJ_J,RSI_6,RSI_12,RSI_24,BOLL_UPPER,BOLL_MID,BOLL_LOWER,CCI
002235.SZ,2024-01-02,7.43,7.54,7.63,7.43,7.55,-0.12,-1.5894,299513.59,224443.85,4.574,34.48796,7.54,33.98482,7.43,34.89962,7.63,33.98482,7.43,34.5337,7.55,-0.242,-0.112,-0.26,19.669,19.84,19.325,34.191,37.906,43.445,9.358,8.183,7.008,-62.716
002235.SZ,2024-01-03,7.46,7.38,7.49,7.35,7.43,0.03,0.4038,231156.6,171646.89,4.574,33.75612,7.38,34.12204,7.46,34.25926,7.49,33.6189,7.35,33.98482,7.43,-0.249,-0.14,-0.219,21.557,20.413,23.845,36.175,38.708,43.789,9.35,8.137,6.925,-61.45
002235.SZ,2024-01-04,7.31,7.47,7.49,7.26,7.46,-0.15,-2.0107,215296.42,158042.38,4.574,34.16778,7.47,33.43594,7.31,34.25926,7.49,33.20724,7.26,34.12204,7.46,-0.264,-0.165,-0.198,20.05,20.292,19.567,30.635,36.161,42.444,9.303,8.068,6.833,-62.759
002235.SZ,2024-01-05,7.24,7.4,7.5,7.16,7.31,-0.07,-0.9576,269880.13,197694.94,4.574,33.8476,7.4,33.11576,7.24,34.305,7.5,32.74984,7.16,33.43594,7.31,-0.277,-0.187,-0.181,21.327,20.637,22.707,28.215,34.988,41.818,9.218,7.988,6.757,-62.872
002235.SZ,2024-01-08,7.08,7.18,7.2,7.08,7.24,-0.16,-2.2099,197201.1,140643.61,4.574,32.84132,7.18,32.38392,7.08,32.9328,7.2,32.38392,7.08,33.11576,7.24,-0.298,-0.209,-0.177,14.218,18.497,5.66,23.191,32.372,40.397,9.172,7.912,6.653,-85.134
002235.SZ,2024-01-09,6.93,7.06,7.16,6.88,7.08,-0.15,-2.1186,288514.24,201893.0,4.574,32.29244,7.06,31.69782,6.93,32.74984,7.16,31.46912,6.88,32.38392,7.08,-0.322,-0.232,-0.181,11.536,16.177,2.255,19.32,30.072,39.098,9.116,7.829,6.542,-113.019
002235.SZ,2024-01-10,6.71,6.92,6.92,6.71,6.93,-0.22,-3.1746,266426.0,180563.84,4.574,31.65208,6.92,30.69154,6.71,31.65208,6.92,30.69154,6.71,31.69782,6.93,-0.356,-0.257,-0.198,7.691,13.348,-3.624,14.934,27.002,37.264,9.062,7.736,6.409,-157.795
002235.SZ,2024-01-11,6.92,6.72,6.95,6.71,6.71,0.21,3.1297,256431.42,175801.72,4.574,30.73728,6.72,31.65208,6.92,31.7893,6.95,30.69154,6.71,30.69154,6.71,-0.361,-0.277,-0.167,12.27,12.989,10.833,32.491,34.016,40.065,9.035,7.676,6.316,-137.505
002235.SZ,2024-01-12,6.72,6.87,6.92,6.71,6.92,-0.2,-2.8902,224741.64,152731.55,4.574,31.42338,6.87,30.73728,6.72,31.65208,6.92,30.69154,6.71,31.65208,6.92,-0.377,-0.297,-0.159,8.542,11.507,2.614,26.29,30.928,38.363,8.856,7.565,6.274,-131.193
002235.SZ,2024-01-15,6.67,6.7,6.77,6.66,6.72,-0.05,-0.744,147542.17,98863.63,4.574,30.6458,6.7,30.50858,6.67,30.96598,6.77,30.46284,6.66,30.73728,6.72,-0.389,-0.316,-0.146,6.092,9.702,-1.128,24.866,30.181,37.942,8.666,7.457,6.248,-125.307
002235.SZ,2024-01-16,6.62,6.67,6.69,6.48,6.67,-0.05,-0.7496,224189.88,147326.12,4.574,30.50858,6.67,30.27988,6.62,30.60006,6.69,29.63952,6.48,30.50858,6.67,-0.398,-0.332,-0.132,8.636,9.347,7.216,23.349,29.406,37.513,8.482,7.355,6.228,-123.417
002235.SZ,2024-01-17,6.41,6.6,6.6,6.41,6.62,-0.21,-3.1722,155020.91,100761.17,4.574,30.1884,6.6,29.31934,6.41,30.1884,6.6,29.31934,6.41,30.27988,6.62,-0.417,-0.349,-0.136,5.758,8.15,0.972,17.857,26.311,35.742,8.268,7.242,6.216,-124.383
002235.SZ,2024-01-18,6.36,6.39,6.44,6.17,6.41,-0.05,-0.78,245917.79,154473.47,4.574,29.22786,6.39,29.09064,6.36,29.45656,6.44,28.22158,6.17,29.31934,6.41,-0.432,-0.366,-0.132,9.987,8.763,12.437,16.732,25.611,35.328,8.1,7.142,6.184,-130.727
002235.SZ,2024-01-19,6.34,6.36,6.46,6.32,6.36,-0.02,-0.3145,172440.26,110062.01,4.574,29.09064,6.36,28.99916,6.34,29.54804,6.46,28.90768,6.32,29.09064,6.36,-0.44,-0.38,-0.118,12.382,9.969,17.208,16.241,25.317,35.158,7.868,7.039,6.21,-106.596
002235.SZ,2024-01-22,5.71,6.34,6.34,5.71,6.34,-0.63,-9.9369,378732.65,224959.48,4.574,28.99916,6.34,26.11754,5.71,28.99916,6.34,26.11754,5.71,28.99916,6.34,-0.491,-0.403,-0.177,8.255,9.398,5.969,7.701,18.155,30.353,7.889,6.938,5.987,-172.78
002235.SZ,2024-01-23,5.84,5.63,5.91,5.6,5.71,0.13,2.2767,305527.92,177133.16,4.574,25.75162,5.63,26.71216,5.84,27.03234,5.91,25.6144,5.6,26.11754,5.71,-0.515,-0.425,-0.181,11.429,10.075,14.138,18.335,23.055,32.344,7.892,6.858,5.824,-162.598
002235.SZ,2024-01-24,5.98,5.83,5.98,5.71,5.84,0.14,2.3973,268283.53,157838.22,4.574,26.66642,5.83,27.35252,5.98,27.35252,5.98,26.11754,5.71,26.71216,5.84,-0.517,-0.444,-0.148,17.215,12.455,26.736,28.918,28.111,34.449,7.884,6.796,5.709,-120.039
002235.SZ,2024-01-25,6.23,5.97,6.28,5.93,5.98,0.25,4.1806,316931.57,194119.0,4.574,27.30678,5.97,28.49602,6.23,28.72472,6.28,27.12382,5.93,27.35252,5.98,-0.493,-0.453,-0.079,29.426,18.112,52.053,44.367,36.269,38.043,7.835,6.744,5.653,-63.505
002235.SZ,2024-01-26,6.27,6.18,6.43,6.15,6.23,0.04,0.6421,344977.75,217937.53,4.574,28.26732,6.18,28.67898,6.27,29.41082,6.43,28.1301,6.15,28.49602,6.23,-0.465,-0.456,-0.019,40.106,25.443,69.432,46.595,37.507,38.604,7.759,6.689,5.619,-28.927
002235.SZ,2024-01-29,6.02,6.25,6.31,6.01,6.27,-0.25,-3.9872,223539.0,136671.35,4.574,28.5875,6.25,27.53548,6.02,28.86194,6.31,27.48974,6.01,28.67898,6.27,-0.458,-0.456,-0.004,40.738,30.541,61.13,35.831,33.121,36.449,7.643,6.612,5.582,-55.844
002235.SZ,2024-01-30,5.85,5.97,6.08,5.84,6.02,-0.17,-2.8239,171381.99,101950.39,4.574,27.30678,5.97,26.7579,5.85,27.80992,6.08,26.71216,5.84,27.53548,6.02,-0.461,-0.457,-0.007,36.848,32.644,45.257,30.147,30.477,35.06,7.543,6.533,5.524,-86.31
002235.SZ,2024-01-31,5.39,5.76,5.85,5.36,5.85,-0.46,-7.8632,354059.26,196839.09,4.574,26.34624,5.76,24.65386,5.39,26.7579,5.85,24.51664,5.36,26.7579,5.85,-0.495,-0.465,-0.06,25.475,30.254,15.916,19.899,24.665,31.653,7.463,6.43,5.397,-148.014
002235.SZ,2024-02-01,5.26,5.4,5.46,5.1,5.39,-0.13,-2.4119,297704.53,156960.21,4.574,24.6996,5.4,24.05924,5.26,24.97404,5.46,23.3274,5.1,24.65386,5.39,-0.526,-0.477,-0.097,20.993,27.167,8.645,17.842,23.296,30.772,7.397,6.328,5.258,-170.614
002235.SZ,2024-02-02,5.05,5.3,5.5,4.82,5.26,-0.21,-3.9924,365261.73,188288.99,4.574,24.2422,5.3,23.0987,5.05,25.157,5.5,22.04668,4.82,24.05924,5.26,-0.561,-0.494,-0.134,18.757,24.364,7.544,14.864,21.219,29.392,7.338,6.218,5.098,-164.907
002235.SZ,2024-02-05,4.55,4.97,5.0,4.55,5.05,-0.5,-9.901,277031.34,127556.24,4.574,22.73278,4.97,20.8117,4.55,22.87,5.0,20.8117,4.55,23.0987,5.05,-0.622,-0.519,-0.205,12.505,20.411,-3.307,10.064,17.23,26.445,7.356,6.092,4.827,-189.674
002235.SZ,2024-02-06,4.43,4.13,4.7,4.1,4.55,-0.12,-2.6374,528841.43,225977.6,4.574,18.89062,4.13,20.26282,4.43,21.4978,4.7,18.7534,4.1,20.8117,4.55,-0.672,-0.55,-0.244,13.058,17.96,3.253,9.207,16.422,25.798,7.362,5.966,4.571,-174.016
002235.SZ,2024-02-07,4.27,4.47,4.56,4.18,4.43,-0.16,-3.6117,362007.77,159070.45,4.574,20.44578,4.47,19.53098,4.27,20.85744,4.56,19.11932,4.18,20.26282,4.43,-0.716,-0.583,-0.267,11.137,15.686,2.04,8.104,15.373,24.948,7.379,5.844,4.31,-143.532
002235.SZ,2024-02-08,4.56,4.26,4.59,4.21,4.27,0.29,6.7916,377803.47,167965.9,4.574,19.48524,4.26,20.85744,4.56,20.99466,4.59,19.25654,4.21,19.53098,4.27,-0.72,-0.611,-0.219,14.363,15.245,12.599,27.103,24.863,29.351,7.275,5.726,4.178,-106.785
002235.SZ,2024-02-19,4.87,4.62,4.9,4.62,4.56,0.31,6.7982,415874.47,198882.97,4.574,21.13188,4.62,22.27538,4.87,22.4126,4.9,21.13188,4.62,20.85744,4.56,-0.69,-0.626,-0.127,22.538,17.676,32.263,42.383,33.552,33.69,7.154,5.634,4.114,-59.156
002235.SZ,2024-02-20,5.36,4.88,5.36,4.8,4.87,0.49,10.0616,460611.44,242368.76,4.574,22.32112,4.88,24.51664,5.36,24.51664,5.36,21.9552,4.8,22.27538,4.87,-0.619,-0.625,0.011,39.025,24.792,67.492,58.774,44.599,39.789,7.016,5.568,4.121,-14.036
002235.SZ,2024-02-21,5.31,5.1,5.58,5.08,5.36,-0.05,-0.9328,729334.03,389724.17,4.574,23.3274,5.1,24.28794,5.31,25.52292,5.58,23.23592,5.08,24.51664,5.36,-0.561,-0.612,0.102,53.269,34.285,91.238,56.796,43.789,39.403,6.871,5.503,4.135,8.213
002235.SZ,2024-02-22,5.51,5.27,5.59,5.27,5.31,0.2,3.7665,590668.86,321660.55,4.574,24.10498,5.27,25.20274,5.51,25.56866,5.59,24.10498,5.27,24.28794,5.31,-0.493,-0.588,0.191,67.056,45.209,110.752,62.805,47.918,41.761,6.761,5.458,4.155,33.687
002235.SZ,2024-02-23,5.71,5.54,5.74,5.47,5.51,0.2,3.6298,644941.66,361256.61,4.574,25.33996,5.54,26.11754,5.71,26.25476,5.74,25.01978,5.47,25.20274,5.51,-0.418,-0.554,0.273,77.428,55.948,120.387,68.126,51.783,44.033,6.668,5.426,4.183,70.999
