股票代码,交易日期,收盘价,开盘价,最高价,最低价,昨收价,涨跌额,涨跌幅,成交量(手),成交额(千元),复权因子,开盘价后复权,开盘价前复权,收盘价后复权,收盘价前复权,最高价后复权,最高价前复权,最低价后复权,最低价前复权,昨收价后复权,昨收价前复权,MACD_DIF(基于前复权价格计算),MACD_DEA,MACD,KDJ_K,KDJ_D,KDJ_J,RSI_6,RSI_12,RSI_24,BOLL_UPPER,BOLL_MID,BOLL_LOWER,CCI
000830.SZ,2024-01-02,9.95,10.03,10.04,9.95,10.03,-0.08,-0.7976,104295.0,104045.57,8.409,84.34227,9.59514,83.66955,9.51861,84.42636,9.60471,83.66955,9.51861,84.34227,9.59514,-0.079,-0.121,0.084,68.416,60.051,85.146,52.143,47.392,44.239,9.689,9.474,9.259,50.777
000830.SZ,2024-01-03,10.11,9.95,10.14,9.93,9.95,0.16,1.608,136073.69,137013.09,8.409,83.66955,9.51861,85.01499,9.67167,85.26726,9.70037,83.50137,9.49948,83.66955,9.51861,-0.06,-0.109,0.098,76.903,65.669,99.373,67.676,55.768,48.226,9.704,9.494,9.284,107.904
000830.SZ,2024-01-04,10.04,10.11,10.13,9.97,10.11,-0.07,-0.6924,95098.0,95377.38,8.409,85.01499,9.67167,84.42636,9.60471,85.18317,9.69081,83.83773,9.53774,85.01499,9.67167,-0.05,-0.097,0.095,76.666,69.334,91.328,57.823,51.829,46.702,9.716,9.502,9.288,98.708
000830.SZ,2024-01-05,9.94,10.0,10.05,9.88,10.04,-0.1,-0.996,85305.0,85153.13,8.409,84.09,9.56644,83.58546,9.50905,84.51045,9.61428,83.08092,9.45165,84.42636,9.60471,-0.049,-0.087,0.077,66.9,68.523,63.654,46.274,46.69,44.6,9.717,9.503,9.289,34.375
000830.SZ,2024-01-08,9.78,9.88,9.93,9.77,9.94,-0.16,-1.6097,87073.73,85626.26,8.409,83.08092,9.45165,82.24002,9.35598,83.50137,9.49948,82.15593,9.34642,83.58546,9.50905,-0.059,-0.082,0.045,45.501,60.849,14.805,33.447,39.802,41.484,9.717,9.503,9.289,-60.748
000830.SZ,2024-01-09,9.8,9.75,9.86,9.69,9.78,0.02,0.2045,73382.67,71704.92,8.409,81.98775,9.32728,82.4082,9.37512,82.91274,9.43251,81.48321,9.26988,82.24002,9.35598,-0.066,-0.079,0.026,38.482,53.393,8.66,36.104,40.989,42.012,9.713,9.494,9.275,-91.192
000830.SZ,2024-01-10,9.78,9.82,9.86,9.67,9.8,-0.02,-0.2041,68428.19,66916.49,8.409,82.57638,9.39425,82.24002,9.35598,82.91274,9.43251,81.31503,9.25075,82.4082,9.37512,-0.071,-0.077,0.011,33.456,46.748,6.873,34.453,40.126,41.62,9.681,9.477,9.272,-92.219
000830.SZ,2024-01-11,9.89,9.77,9.94,9.74,9.78,0.11,1.1247,69217.41,68207.72,8.409,82.15593,9.34642,83.16501,9.46121,83.58546,9.50905,81.90366,9.31772,82.24002,9.35598,-0.067,-0.075,0.017,37.907,43.801,26.119,49.646,46.843,44.589,9.672,9.471,9.271,-38.268
000830.SZ,2024-01-12,9.92,9.88,10.01,9.85,9.89,0.03,0.3033,60364.81,60050.01,8.409,83.08092,9.45165,83.41728,9.48991,84.17409,9.57601,82.82865,9.42295,83.16501,9.46121,-0.06,-0.072,0.024,43.002,43.534,41.937,53.196,48.56,45.38,9.655,9.465,9.275,6.796
000830.SZ,2024-01-15,9.94,9.92,10.0,9.86,9.92,0.02,0.2016,76335.88,75906.24,8.409,83.41728,9.48991,83.58546,9.50905,84.09,9.56644,82.91274,9.43251,83.41728,9.48991,-0.052,-0.068,0.031,47.817,44.962,53.527,55.695,49.741,45.917,9.657,9.466,9.276,6.461
000830.SZ,2024-01-16,9.87,9.97,9.99,9.78,9.94,-0.07,-0.7042,71519.44,70673.34,8.409,83.83773,9.53774,82.99683,9.44208,84.00591,9.55688,82.24002,9.35598,83.58546,9.50905,-0.051,-0.065,0.027,46.371,45.431,48.249,45.493,45.733,44.326,9.655,9.471,9.286,-35.36
000830.SZ,2024-01-17,9.63,9.85,9.88,9.63,9.87,-0.24,-2.4316,83963.45,81842.4,8.409,82.82865,9.42295,80.97867,9.21249,83.08092,9.45165,80.97867,9.21249,82.99683,9.44208,-0.068,-0.065,-0.005,30.914,40.592,11.557,25.942,35.142,39.437,9.675,9.463,9.25,-144.618
000830.SZ,2024-01-18,9.31,9.6,9.61,9.03,9.63,-0.32,-3.3229,166798.66,153999.39,8.409,80.7264,9.18379,78.28779,8.90636,80.81049,9.19335,75.93327,8.6385,80.97867,9.21249,-0.105,-0.073,-0.063,30.133,37.106,16.187,15.372,26.288,34.19,9.761,9.439,9.118,-280.588
000830.SZ,2024-01-19,9.33,9.3,9.47,9.23,9.31,0.02,0.2148,139839.64,130655.07,8.409,78.2037,8.89679,78.45597,8.92549,79.63323,9.05942,77.61507,8.82983,78.28779,8.90636,-0.131,-0.085,-0.092,30.293,34.835,21.209,17.882,27.533,34.757,9.807,9.415,9.023,-192.191
000830.SZ,2024-01-22,8.85,9.33,9.33,8.84,9.33,-0.48,-5.1447,117775.65,106865.52,8.409,78.45597,8.92549,74.41965,8.4663,78.45597,8.92549,74.33556,8.45674,78.45597,8.92549,-0.187,-0.105,-0.163,20.48,30.05,1.34,9.645,19.091,28.597,9.939,9.369,8.799,-215.524
000830.SZ,2024-01-23,9.08,8.85,9.14,8.69,8.85,0.23,2.5989,120786.06,108438.31,8.409,74.41965,8.4663,76.35372,8.68633,76.85826,8.74373,73.07421,8.31324,74.41965,8.4663,-0.211,-0.126,-0.169,23.502,27.867,14.771,28.565,30.267,34.409,9.974,9.332,8.69,-160.174
000830.SZ,2024-01-24,9.25,9.12,9.27,8.95,9.08,0.17,1.8722,87980.1,80438.98,8.409,76.69008,8.7246,77.78325,8.84896,77.95143,8.86809,75.26055,8.56197,76.35372,8.68633,-0.214,-0.144,-0.14,29.809,28.515,32.399,39.754,37.256,38.284,9.973,9.301,8.629,-93.754
000830.SZ,2024-01-25,9.45,9.28,9.45,9.18,9.25,0.2,2.1622,139275.93,129713.11,8.409,78.03552,8.87766,79.46505,9.04029,79.46505,9.04029,77.19462,8.782,77.78325,8.84896,-0.199,-0.155,-0.088,39.211,32.08,53.474,50.664,44.406,42.457,9.957,9.28,8.603,-42.319
000830.SZ,2024-01-26,9.64,9.44,9.72,9.38,9.45,0.19,2.0106,141373.66,135706.95,8.409,79.38096,9.03072,81.06276,9.22205,81.73548,9.29858,78.87642,8.97332,79.46505,9.04029,-0.17,-0.158,-0.025,50.5,38.22,75.059,59.106,50.279,46.072,9.918,9.26,8.602,8.297
000830.SZ,2024-01-29,9.61,9.68,9.79,9.58,9.64,-0.03,-0.3112,120893.0,116571.56,8.409,81.39912,9.26032,80.81049,9.19335,82.32411,9.36555,80.55822,9.16465,81.06276,9.22205,-0.148,-0.156,0.016,59.437,45.292,87.726,57.25,49.38,45.6,9.88,9.24,8.599,28.733
000830.SZ,2024-01-30,9.41,9.49,9.71,9.41,9.61,-0.2,-2.0812,87219.22,83552.64,8.409,79.80141,9.07856,79.12869,9.00202,81.65139,9.28902,79.12869,9.00202,80.81049,9.19335,-0.145,-0.154,0.018,61.443,50.676,82.977,45.755,43.701,42.566,9.849,9.214,8.579,-1.258
000830.SZ,2024-01-31,9.24,9.32,9.49,9.23,9.41,-0.17,-1.8066,121504.16,113708.9,8.409,78.37188,8.91593,77.69916,8.83939,79.80141,9.07856,77.61507,8.82983,79.12869,9.00202,-0.153,-0.154,0.001,57.629,52.993,66.899,37.977,39.489,40.195,9.791,9.172,8.554,-39.261
000830.SZ,2024-02-01,9.34,9.21,9.52,9.14,9.24,0.1,1.0823,119466.32,111755.85,8.409,77.44689,8.81069,78.54006,8.93506,80.05368,9.10725,76.85826,8.74373,77.69916,8.83939,-0.15,-0.153,0.005,58.116,54.701,64.946,44.622,43.014,42.172,9.732,9.139,8.546,-28.285
000830.SZ,2024-02-02,9.17,9.33,9.44,8.93,9.34,-0.17,-1.8201,154407.15,143057.81,8.409,78.45597,8.92549,77.11053,8.77243,79.38096,9.03072,75.09237,8.54283,78.54006,8.93506,-0.159,-0.154,-0.01,53.289,54.23,51.407,36.619,38.82,39.836,9.69,9.102,8.514,-65.057
000830.SZ,2024-02-05,9.08,9.09,9.32,8.69,9.17,-0.09,-0.9815,176470.6,159722.53,8.409,76.43781,8.6959,76.35372,8.68633,78.37188,8.91593,73.07421,8.31324,77.11053,8.77243,-0.172,-0.158,-0.028,47.344,51.935,38.163,32.873,36.751,38.652,9.671,9.069,8.466,-107.407
000830.SZ,2024-02-06,9.79,9.0,9.8,8.97,9.08,0.71,7.8194,220979.62,210317.82,8.409,75.681,8.6098,82.32411,9.36555,82.4082,9.37512,75.42873,8.5811,76.35372,8.68633,-0.125,-0.151,0.052,64.596,56.155,81.477,65.897,56.64,50.705,9.67,9.068,8.467,84.015
000830.SZ,2024-02-07,10.36,9.78,10.37,9.76,9.79,0.57,5.8223,326119.79,333092.66,8.409,82.24002,9.35598,87.11724,9.91084,87.20133,9.9204,82.07184,9.33685,82.32411,9.36555,-0.043,-0.13,0.172,76.199,62.837,102.924,76.862,66.003,57.671,9.792,9.096,8.4,232.361
