股票代码,交易日期,收盘价,开盘价,最高价,最低价,昨收价,涨跌额,涨跌幅,成交量(手),成交额(千元),复权因子,开盘价后复权,开盘价前复权,收盘价后复权,收盘价前复权,最高价后复权,最高价前复权,最低价后复权,最低价前复权,昨收价后复权,昨收价前复权,MACD_DIF(基于前复权价格计算),MACD_DEA,MACD,KDJ_K,KDJ_D,KDJ_J,RSI_6,RSI_12,RSI_24,BOLL_UPPER,BOLL_MID,BOLL_LOWER,CCI
002480.SZ,2024-01-02,5.07,5.07,5.11,5.03,5.06,0.01,0.1976,72162.0,36600.66,4.104,20.80728,5.07,20.80728,5.07,20.97144,5.11,20.64312,5.03,20.76624,5.06,0.03,0.032,-0.005,66.604,46.934,105.946,64.697,58.487,56.52,5.157,4.979,4.801,96.945
002480.SZ,2024-01-03,5.07,5.08,5.09,5.04,5.07,0.0,0.0,66806.0,33803.93,4.104,20.84832,5.08,20.80728,5.07,20.88936,5.09,20.68416,5.04,20.80728,5.07,0.036,0.033,0.006,73.696,55.854,109.379,64.697,58.487,56.52,5.167,4.986,4.805,96.393
002480.SZ,2024-01-04,5.09,5.11,5.13,5.05,5.07,0.02,0.3945,74402.03,37834.03,4.104,20.97144,5.11,20.88936,5.09,21.05352,5.13,20.7252,5.05,20.80728,5.07,0.042,0.035,0.014,78.654,63.454,109.054,66.954,59.672,57.122,5.178,4.992,4.807,115.695
002480.SZ,2024-01-05,5.0,5.09,5.11,4.96,5.09,-0.09,-1.7682,72771.0,36683.88,4.104,20.88936,5.09,20.52,5.0,20.97144,5.11,20.35584,4.96,20.88936,5.09,0.039,0.036,0.007,73.389,66.766,86.634,49.771,52.339,53.632,5.163,4.986,4.81,61.296
002480.SZ,2024-01-08,4.92,5.02,5.03,4.91,5.0,-0.08,-1.6,46421.0,23016.27,4.104,20.60208,5.02,20.19168,4.92,20.64312,5.03,20.15064,4.91,20.52,5.0,0.03,0.035,-0.009,62.259,65.264,56.25,39.075,46.766,50.756,5.163,4.985,4.807,-5.223
002480.SZ,2024-01-09,4.94,4.92,5.02,4.9,4.92,0.02,0.4065,65259.0,32255.98,4.104,20.19168,4.92,20.27376,4.94,20.60208,5.02,20.1096,4.9,20.19168,4.92,0.024,0.032,-0.017,56.212,62.246,44.143,42.765,48.268,51.436,5.153,4.978,4.804,-6.683
002480.SZ,2024-01-10,4.92,4.93,4.96,4.85,4.94,-0.02,-0.4049,61304.0,30120.34,4.104,20.23272,4.93,20.19168,4.92,20.35584,4.96,19.9044,4.85,20.27376,4.94,0.018,0.029,-0.024,48.227,57.573,29.535,39.867,46.826,50.706,5.139,4.97,4.801,-45.205
002480.SZ,2024-01-11,5.01,4.94,5.02,4.91,4.92,0.09,1.8293,65702.0,32758.63,4.104,20.27376,4.94,20.56104,5.01,20.60208,5.02,20.15064,4.91,20.19168,4.92,0.019,0.027,-0.016,51.199,55.449,42.7,55.975,53.626,53.785,5.132,4.968,4.803,16.99
002480.SZ,2024-01-12,4.96,4.99,5.05,4.96,5.01,-0.05,-0.998,63985.0,31972.53,4.104,20.47896,4.99,20.35584,4.96,20.7252,5.05,20.35584,4.96,20.56104,5.01,0.017,0.025,-0.017,47.228,52.708,36.267,47.494,49.769,51.905,5.122,4.962,4.803,19.976
002480.SZ,2024-01-15,4.94,4.96,4.97,4.91,4.96,-0.02,-0.4032,55934.0,27629.72,4.104,20.35584,4.96,20.27376,4.94,20.39688,4.97,20.15064,4.91,20.35584,4.96,0.013,0.023,-0.02,42.2,49.205,28.188,44.274,48.254,51.159,5.111,4.957,4.803,-33.457
002480.SZ,2024-01-16,4.86,4.94,4.96,4.8,4.94,-0.08,-1.6194,77917.84,38000.52,4.104,20.27376,4.94,19.94544,4.86,20.35584,4.96,19.6992,4.8,20.27376,4.94,0.003,0.019,-0.031,34.194,44.202,14.178,33.403,42.598,48.262,5.113,4.954,4.794,-110.765
002480.SZ,2024-01-17,4.75,4.85,4.88,4.73,4.86,-0.11,-2.2634,69075.0,33222.29,4.104,19.9044,4.85,19.494,4.75,20.02752,4.88,19.41192,4.73,19.94544,4.86,-0.013,0.012,-0.051,24.55,37.651,-1.652,23.772,36.228,44.636,5.126,4.943,4.76,-191.144
002480.SZ,2024-01-18,4.64,4.71,4.76,4.49,4.75,-0.11,-2.3158,106427.0,48981.52,4.104,19.32984,4.71,19.04256,4.64,19.53504,4.76,18.42696,4.49,19.494,4.75,-0.035,0.003,-0.075,25.295,33.533,8.821,17.661,31.147,41.391,5.154,4.929,4.704,-244.809
002480.SZ,2024-01-19,4.6,4.64,4.67,4.57,4.64,-0.04,-0.8621,55235.0,25517.17,4.104,19.04256,4.64,18.8784,4.6,19.16568,4.67,18.75528,4.57,19.04256,4.64,-0.054,-0.008,-0.092,23.411,30.159,9.916,15.88,29.505,40.28,5.176,4.911,4.645,-181.921
