股票代码,交易日期,收盘价,开盘价,最高价,最低价,昨收价,涨跌额,涨跌幅,成交量(手),成交额(千元),复权因子,开盘价后复权,开盘价前复权,收盘价后复权,收盘价前复权,最高价后复权,最高价前复权,最低价后复权,最低价前复权,昨收价后复权,昨收价前复权,MACD_DIF(基于前复权价格计算),MACD_DEA,MACD,KDJ_K,KDJ_D,KDJ_J,RSI_6,RSI_12,RSI_24,BOLL_UPPER,BOLL_MID,BOLL_LOWER,CCI
000619.SZ,2024-01-02,6.95,7.0,7.04,6.91,6.92,0.03,0.4335,312050.6,217118.36,9.341,65.387,7.0,64.91995,6.95,65.76064,7.04,64.54631,6.91,64.63972,6.92,0.133,0.084,0.098,53.325,48.107,63.761,65.645,63.918,61.288,7.058,6.591,6.124,98.63
000619.SZ,2024-01-03,6.96,6.88,6.96,6.77,6.95,0.01,0.1439,275085.01,188792.17,9.341,64.26608,6.88,65.01336,6.96,65.01336,6.96,63.23857,6.77,64.91995,6.95,0.141,0.095,0.091,54.129,50.114,62.159,66.177,64.224,61.485,7.102,6.62,6.139,66.623
000619.SZ,2024-01-04,7.02,6.91,7.25,6.86,6.96,0.06,0.8621,338597.77,238326.38,9.341,64.54631,6.91,65.57382,7.02,67.72225,7.25,64.07926,6.86,65.01336,6.96,0.15,0.106,0.088,56.305,52.178,64.559,69.571,66.102,62.677,7.154,6.648,6.143,93.279
000619.SZ,2024-01-05,6.81,6.94,7.07,6.78,7.02,-0.21,-2.9915,251694.77,173947.07,9.341,64.82654,6.94,63.61221,6.81,66.04087,7.07,63.33198,6.78,65.57382,7.02,0.139,0.113,0.053,52.017,52.124,51.803,48.944,55.064,56.314,7.168,6.666,6.164,42.4
000619.SZ,2024-01-08,6.87,6.79,7.16,6.75,6.81,0.06,0.8811,277366.22,192790.7,9.341,63.42539,6.79,64.17267,6.87,66.88156,7.16,63.05175,6.75,63.61221,6.81,0.134,0.117,0.034,50.798,51.682,49.031,53.655,57.287,57.598,7.173,6.695,6.217,46.64
000619.SZ,2024-01-09,7.0,6.8,7.12,6.8,6.87,0.13,1.8923,334149.0,233349.07,9.341,63.5188,6.8,65.387,7.0,66.50792,7.12,63.5188,6.8,64.17267,6.87,0.138,0.121,0.034,50.532,51.299,48.999,62.622,61.759,60.238,7.19,6.73,6.27,53.192
000619.SZ,2024-01-10,6.93,6.84,6.99,6.65,7.0,-0.07,-1.0,220756.0,151790.05,9.341,63.89244,6.84,64.73313,6.93,65.29359,6.99,62.11765,6.65,65.387,7.0,0.135,0.124,0.022,44.669,49.089,35.828,55.663,58.181,58.202,7.21,6.746,6.282,10.817
000619.SZ,2024-01-11,6.98,6.91,7.02,6.86,6.93,0.05,0.7215,200200.44,138752.02,9.341,64.54631,6.91,65.20018,6.98,65.57382,7.02,64.07926,6.86,64.73313,6.93,0.134,0.126,0.017,48.112,48.763,46.81,59.519,59.987,59.229,7.235,6.76,6.286,40.539
000619.SZ,2024-01-12,7.26,7.04,7.68,6.89,6.98,0.28,4.0115,812914.42,604746.5,9.341,65.76064,7.04,67.81566,7.26,71.73888,7.68,64.35949,6.89,65.20018,6.98,0.155,0.132,0.046,51.816,49.781,55.886,74.451,68.341,64.35,7.309,6.789,6.268,182.661
000619.SZ,2024-01-15,7.1,7.22,7.48,7.04,7.26,-0.16,-2.2039,561102.17,402731.67,9.341,67.44202,7.22,66.3211,7.1,69.87068,7.48,65.76064,7.04,67.81566,7.26,0.156,0.137,0.04,49.107,49.556,48.209,59.421,60.471,59.866,7.344,6.813,6.282,146.512
000619.SZ,2024-01-16,7.34,7.02,7.7,6.93,7.1,0.24,3.3803,563394.03,410828.87,9.341,65.57382,7.02,68.56294,7.34,71.9257,7.7,64.73313,6.93,66.3211,7.1,0.175,0.144,0.061,54.643,51.252,61.425,70.237,66.739,63.813,7.414,6.854,6.294,168.321
000619.SZ,2024-01-17,7.34,7.23,7.6,7.06,7.34,0.0,0.0,584416.63,429143.7,9.341,67.53543,7.23,68.56294,7.34,70.9916,7.6,65.94746,7.06,68.56294,7.34,0.188,0.153,0.069,58.333,53.612,67.775,70.237,66.739,63.813,7.463,6.899,6.335,133.998
000619.SZ,2024-01-18,7.41,7.16,7.55,7.0,7.34,0.07,0.9537,436454.6,317393.44,9.341,66.88156,7.16,69.21681,7.41,70.52455,7.55,65.387,7.0,68.56294,7.34,0.201,0.163,0.077,63.016,56.747,75.554,73.233,68.474,64.908,7.508,6.949,6.39,104.993
